OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,zonal_0219_5m_p95_max,zonal_0219_5m_p95_min,zonal_0219_5m_p95_mean,zonal_0219_5m_p5_max,zonal_0219_5m_p5_min,zonal_0219_5m_p5_mean,zonal_0219_5m_max_min,zonal_0219_5m_max_mean,zonal_0219_5m_med_max,zonal_0219_5m_med_min,zonal_0219_5m_med_mean,zonal_0219_5m_min_max,zonal_0219_5m_min_mean,zonal_0219_5m_range_max,zonal_0219_5m_range_min,zonal_0219_5m_range_mean,zonal_0219_2m_max_min,zonal_0219_2m_max_mean,zonal_0219_2m_med_max,zonal_0219_2m_med_min,zonal_0219_2m_med_mean,zonal_0219_2m_min_max,zonal_0219_2m_min_mean,zonal_0219_2m_range_max,zonal_0219_2m_range_min,zonal_0219_2m_range_mean,zonal_0219_2m_p5_max,zonal_0219_2m_p5_min,zonal_0219_2m_p5_mean,zonal_0219_2m_p95_max,zonal_0219_2m_p95_min,zonal_0219_2m_p95_mean,zonal_0219_1m_max_min,zonal_0219_1m_max_mean,zonal_0219_1m_med_max,zonal_0219_1m_med_min,zonal_0219_1m_med_mean,zonal_0219_1m_min_max,zonal_0219_1m_min_mean,zonal_0219_1m_range_max,zonal_0219_1m_range_min,zonal_0219_1m_range_mean,zonal_0219_1m_p5_max,zonal_0219_1m_p5_min,zonal_0219_1m_p5_mean,zonal_0219_1m_p95_max,zonal_0219_1m_p95_min,zonal_0219_1m_p95_mean,zonal_0219_50cm_max_min,zonal_0219_50cm_max_mean,zonal_0219_50cm_med_max,zonal_0219_50cm_med_min,zonal_0219_50cm_med_mean,zonal_0219_50cm_min_max,zonal_0219_50cm_min_mean,zonal_0219_50cm_range_max,zonal_0219_50cm_range_min,zonal_0219_50cm_range_mean,zonal_0219_50cm_p5_max,zonal_0219_50cm_p5_min,zonal_0219_50cm_p5_mean,zonal_0219_50cm_p95_max,zonal_0219_50cm_p95_min,zonal_0219_50cm_p95_mean,zonal_0219_25cm_max_min,zonal_0219_25cm_max_mean,zonal_0219_25cm_med_max,zonal_0219_25cm_med_min,zonal_0219_25cm_med_mean,zonal_0219_25cm_min_max,zonal_0219_25cm_min_mean,zonal_0219_25cm_range_max,zonal_0219_25cm_range_min,zonal_0219_25cm_range_mean,zonal_0219_25cm_p95_max,zonal_0219_25cm_p95_min,zonal_0219_25cm_p95_mean,zonal_0219_25cm_p5_max,zonal_0219_25cm_p5_min,zonal_0219_25cm_p5_mean
586,0.0154428,0.1003758,0.0009484,0.0017930,0.0042846,0.0076440,0.0084216,0.0071705,0.0075974,0.0010841,0.0008750,0.0009610,0.0213140,0.0238946,0.0031716,0.0025146,0.0028061,0.0002619,0.0002331,0.0257441,0.0210783,0.0236615,0.0085430,0.0169617,0.0038805,0.0019498,0.0028681,0.0004823,0.0002985,0.0257441,0.0082427,0.0166632,0.0012192,0.0008040,0.0009862,0.0106287,0.0046243,0.0074664,0.0052393,0.0128125,0.0055939,0.0017535,0.0029423,0.0010398,0.0004100,0.0249662,0.0050037,0.0124025,0.0022017,0.0007030,0.0010372,0.0137888,0.0035318,0.0071352,0.0035387,0.0094640,0.0086329,0.0013304,0.0030389,0.0015585,0.0005821,0.0249644,0.0032652,0.0088818,0.0030488,0.0004727,0.0011370,0.0181474,0.0029605,0.0066934,0.0022275,0.0072078,0.0115774,0.0009879,0.0031425,0.0056985,0.0009142,0.0247950,0.0017404,0.0062936,0.0239102,0.0018387,0.0061005,0.0063813,0.0003307,0.0013366
587,0.0126305,0.1315513,0.0010760,0.0021144,0.0050900,0.0092973,0.0108432,0.0075905,0.0093740,0.0011889,0.0009925,0.0010844,0.0240022,0.0460124,0.0036323,0.0029567,0.0033800,0.0002684,0.0002453,0.0733759,0.0237534,0.0457671,0.0096470,0.0229519,0.0054008,0.0021061,0.0034767,0.0005647,0.0003536,0.0732309,0.0093233,0.0225983,0.0019864,0.0007419,0.0011669,0.0269470,0.0048479,0.0091882,0.0054953,0.0158372,0.0072110,0.0017741,0.0035712,0.0012512,0.0004823,0.0732309,0.0050490,0.0153549,0.0031554,0.0006156,0.0012435,0.0349229,0.0040890,0.0088965,0.0037069,0.0115515,0.0169745,0.0013651,0.0037317,0.0029124,0.0007396,0.0727354,0.0034385,0.0108118,0.0063741,0.0005312,0.0013911,0.0450676,0.0026933,0.0081782,0.0024090,0.0086217,0.0266359,0.0009912,0.0038610,0.0106947,0.0012053,0.0695407,0.0017786,0.0074164,0.0638439,0.0022336,0.0073207,0.0133379,0.0004375,0.0016938
588,0.0171730,0.1548610,0.0010521,0.0020327,0.0052713,0.0110472,0.0151323,0.0073343,0.0111578,0.0013475,0.0009096,0.0010933,0.0264424,0.0513055,0.0041237,0.0025180,0.0033391,0.0002592,0.0002339,0.0872135,0.0262436,0.0510716,0.0084626,0.0278496,0.0059563,0.0017646,0.0035222,0.0006369,0.0003623,0.0870196,0.0080940,0.0274873,0.0017697,0.0007259,0.0011674,0.0298510,0.0039981,0.0102441,0.0049532,0.0180086,0.0127279,0.0015354,0.0037308,0.0013662,0.0004995,0.0868451,0.0046554,0.0175091,0.0035488,0.0006551,0.0012600,0.0438880,0.0033482,0.0098246,0.0032039,0.0125377,0.0223429,0.0013782,0.0039395,0.0059045,0.0007415,0.0835923,0.0028231,0.0117962,0.0094187,0.0004872,0.0014176,0.0660440,0.0025136,0.0089231,0.0020084,0.0091586,0.0351272,0.0009093,0.0041210,0.0178038,0.0012484,0.0819329,0.0014939,0.0079102,0.0853577,0.0015926,0.0078329,0.0181961,0.0003967,0.0017750
589,0.0229949,0.1855444,0.0010789,0.0020965,0.0053403,0.0105520,0.0127045,0.0063772,0.0100681,0.0012802,0.0009151,0.0011217,0.0289042,0.0421580,0.0043009,0.0025256,0.0034995,0.0002775,0.0002355,0.0645921,0.0286887,0.0419225,0.0079918,0.0249781,0.0056500,0.0020214,0.0035658,0.0005193,0.0003556,0.0645486,0.0076178,0.0246225,0.0015650,0.0008271,0.0011520,0.0190960,0.0043603,0.0099463,0.0060986,0.0171436,0.0090655,0.0018288,0.0037030,0.0010320,0.0004778,0.0641211,0.0056158,0.0166658,0.0031973,0.0006797,0.0012264,0.0227705,0.0036692,0.0093676,0.0037264,0.0122733,0.0121602,0.0014293,0.0038632,0.0028944,0.0006963,0.0630693,0.0033524,0.0115770,0.0060504,0.0005759,0.0013691,0.0327568,0.0028752,0.0087534,0.0023435,0.0090233,0.0239126,0.0008920,0.0040332,0.0087977,0.0011497,0.0598993,0.0016596,0.0078736,0.0587500,0.0021006,0.0077113,0.0102242,0.0003328,0.0016806
590,0.0219397,0.2227879,0.0011170,0.0022125,0.0058385,0.0125404,0.0159154,0.0091737,0.0124393,0.0012160,0.0010622,0.0011232,0.0375970,0.0600667,0.0040680,0.0033653,0.0036517,0.0002541,0.0002121,0.0925646,0.0373935,0.0598546,0.0106668,0.0323770,0.0070601,0.0023717,0.0038430,0.0006427,0.0003387,0.0925393,0.0104633,0.0320383,0.0018168,0.0008844,0.0011810,0.0240053,0.0054145,0.0117108,0.0066197,0.0208697,0.0118198,0.0020140,0.0040821,0.0013166,0.0004882,0.0914927,0.0062866,0.0203815,0.0031072,0.0007791,0.0013044,0.0297528,0.0046265,0.0109128,0.0036826,0.0141054,0.0139210,0.0015541,0.0043098,0.0032939,0.0007581,0.0899849,0.0031928,0.0133473,0.0048085,0.0005860,0.0014895,0.0599910,0.0027898,0.0098855,0.0020792,0.0102071,0.0276197,0.0009942,0.0045207,0.0108609,0.0013128,0.0867276,0.0015587,0.0088943,0.0855527,0.0017907,0.0086339,0.0126102,0.0004190,0.0019060
591,0.0357557,0.3159563,0.0010282,0.0019639,0.0047695,0.0091763,0.0113237,0.0069722,0.0089820,0.0011523,0.0008915,0.0010510,0.0384306,0.0493732,0.0037180,0.0024769,0.0031556,0.0002700,0.0002361,0.0665323,0.0381607,0.0491371,0.0094016,0.0253829,0.0046985,0.0021053,0.0032341,0.0004648,0.0003327,0.0663976,0.0090878,0.0250502,0.0014713,0.0008224,0.0010883,0.0147143,0.0046778,0.0087721,0.0063013,0.0162897,0.0059870,0.0018810,0.0033131,0.0008715,0.0004574,0.0663751,0.0059242,0.0158323,0.0018839,0.0006946,0.0011438,0.0183710,0.0042517,0.0085739,0.0039641,0.0111022,0.0127606,0.0012604,0.0034517,0.0021685,0.0006388,0.0662229,0.0036120,0.0104635,0.0035422,0.0005718,0.0012540,0.0391068,0.0032490,0.0078677,0.0016760,0.0081811,0.0169267,0.0010318,0.0036229,0.0073962,0.0010585,0.0654330,0.0013505,0.0071226,0.0481200,0.0015396,0.0069608,0.0087262,0.0003830,0.0015348
592,0.0202833,0.0613662,0.0010108,0.0019601,0.0050964,0.0114065,0.0147071,0.0064791,0.0109368,0.0012667,0.0008556,0.0010533,0.0266774,0.0684911,0.0041938,0.0023696,0.0032656,0.0002478,0.0001915,0.0901446,0.0265679,0.0682996,0.0083608,0.0327779,0.0066530,0.0020720,0.0034575,0.0005673,0.0003295,0.0899508,0.0081033,0.0324485,0.0018024,0.0007650,0.0011054,0.0295957,0.0041947,0.0108131,0.0055014,0.0204647,0.0093895,0.0017779,0.0036232,0.0009278,0.0004423,0.0899081,0.0053919,0.0200224,0.0027996,0.0006718,0.0011770,0.0379511,0.0037254,0.0103098,0.0034524,0.0141383,0.0146530,0.0013636,0.0037839,0.0027976,0.0006614,0.0888408,0.0030680,0.0134769,0.0049635,0.0004916,0.0013105,0.0664281,0.0023955,0.0095566,0.0022106,0.0100885,0.0377005,0.0008542,0.0039916,0.0076765,0.0010661,0.0839661,0.0015647,0.0090224,0.0891020,0.0017580,0.0084571,0.0125041,0.0002451,0.0015854
593,0.0083383,0.0961642,0.0012143,0.0026094,0.0084421,0.0267010,0.0351544,0.0196419,0.0268923,0.0012780,0.0010979,0.0012183,0.1272410,0.1736457,0.0047908,0.0043584,0.0045996,0.0002782,0.0002660,0.2154596,0.1269852,0.1733796,0.0211453,0.0847619,0.0134585,0.0027799,0.0053530,0.0005149,0.0003669,0.2154489,0.0207272,0.0843950,0.0020608,0.0008374,0.0013241,0.0946640,0.0084717,0.0276392,0.0081108,0.0561583,0.0188150,0.0019940,0.0056102,0.0012463,0.0005229,0.2151029,0.0075873,0.0556354,0.0036268,0.0007147,0.0014693,0.1419467,0.0051673,0.0274510,0.0047117,0.0355413,0.0309465,0.0014473,0.0061129,0.0031110,0.0008150,0.2149490,0.0043715,0.0347263,0.0078513,0.0005799,0.0017248,0.1868104,0.0037370,0.0233905,0.0020618,0.0238598,0.0925090,0.0007961,0.0068654,0.0094385,0.0014593,0.2145361,0.0005544,0.0224004,0.2084617,0.0019718,0.0192951,0.0148339,0.0003789,0.0022378
594,0.0167297,0.1200526,0.0012108,0.0024071,0.0058575,0.0110396,0.0137574,0.0089807,0.0110917,0.0013525,0.0011090,0.0012193,0.0420761,0.0689571,0.0040237,0.0034104,0.0038384,0.0003108,0.0002725,0.1184865,0.0418948,0.0686846,0.0117862,0.0377750,0.0058966,0.0026662,0.0039207,0.0005647,0.0003512,0.1184478,0.0114577,0.0374238,0.0016395,0.0009164,0.0012559,0.0255366,0.0061820,0.0110746,0.0073568,0.0235031,0.0080642,0.0021574,0.0040165,0.0010677,0.0004937,0.1180201,0.0065579,0.0230094,0.0025886,0.0007233,0.0013439,0.0318391,0.0050011,0.0107971,0.0043398,0.0151781,0.0135509,0.0016120,0.0041702,0.0028019,0.0007690,0.1180201,0.0040153,0.0144091,0.0048740,0.0006285,0.0015202,0.0720809,0.0036559,0.0102667,0.0027575,0.0106774,0.0302809,0.0010458,0.0043866,0.0065626,0.0012610,0.1126834,0.0017550,0.0094165,0.1045754,0.0023581,0.0089200,0.0080808,0.0004657,0.0018295
595,0.0259128,0.1048588,0.0010880,0.0020962,0.0050683,0.0091386,0.0103285,0.0082692,0.0091456,0.0011041,0.0010677,0.0010867,0.0241916,0.0442647,0.0035723,0.0031634,0.0033512,0.0002948,0.0002512,0.0724750,0.0238968,0.0440135,0.0097791,0.0223790,0.0048431,0.0022407,0.0034230,0.0005034,0.0003327,0.0722921,0.0095639,0.0220463,0.0015036,0.0008833,0.0011374,0.0134990,0.0050902,0.0087802,0.0061196,0.0154098,0.0060105,0.0020034,0.0034898,0.0007420,0.0004396,0.0720671,0.0057458,0.0149702,0.0018174,0.0007677,0.0011959,0.0162146,0.0041021,0.0084688,0.0039868,0.0114662,0.0107850,0.0013599,0.0036000,0.0021798,0.0006548,0.0716054,0.0035504,0.0108114,0.0032956,0.0005917,0.0013104,0.0492500,0.0033104,0.0080456,0.0020023,0.0084982,0.0200989,0.0011313,0.0037575,0.0053699,0.0011182,0.0709975,0.0015301,0.0073800,0.0640397,0.0018724,0.0071984,0.0063374,0.0003726,0.0016073
596,0.0203831,0.1081640,0.0011161,0.0021991,0.0056324,0.0114932,0.0165268,0.0088763,0.0117063,0.0012780,0.0010295,0.0011294,0.0490630,0.0639473,0.0043776,0.0031082,0.0036101,0.0003044,0.0002268,0.0896342,0.0487586,0.0637204,0.0099879,0.0352662,0.0056506,0.0023627,0.0037717,0.0005503,0.0003337,0.0893568,0.0096261,0.0349325,0.0016347,0.0008347,0.0011937,0.0247610,0.0055404,0.0109890,0.0066461,0.0223934,0.0086293,0.0017604,0.0038740,0.0009120,0.0004677,0.0893568,0.0062809,0.0219257,0.0021557,0.0006655,0.0012408,0.0425629,0.0042012,0.0107450,0.0042109,0.0150939,0.0159588,0.0015055,0.0040982,0.0023284,0.0006971,0.0893568,0.0037805,0.0143968,0.0060373,0.0005432,0.0014005,0.0592581,0.0030975,0.0099446,0.0020873,0.0105622,0.0275642,0.0009260,0.0042865,0.0089779,0.0011414,0.0887299,0.0016286,0.0094207,0.0767832,0.0018163,0.0087850,0.0132782,0.0004250,0.0017115
597,0.0302401,0.1801680,0.0010892,0.0021022,0.0052305,0.0099475,0.0124867,0.0079730,0.0098400,0.0012483,0.0010131,0.0011023,0.0430989,0.0457541,0.0039820,0.0029243,0.0034331,0.0002746,0.0002275,0.0492259,0.0428244,0.0455266,0.0112579,0.0289769,0.0046168,0.0023219,0.0034706,0.0005452,0.0003502,0.0492035,0.0109362,0.0286267,0.0015731,0.0008568,0.0011390,0.0178017,0.0052972,0.0098244,0.0057614,0.0177255,0.0064741,0.0020513,0.0036069,0.0007607,0.0004661,0.0488493,0.0055466,0.0172594,0.0020677,0.0007261,0.0011960,0.0281941,0.0044224,0.0093903,0.0040831,0.0119859,0.0129483,0.0014065,0.0037874,0.0023198,0.0006733,0.0481336,0.0034905,0.0113126,0.0049697,0.0005961,0.0013410,0.0383153,0.0033063,0.0086531,0.0023585,0.0088525,0.0213469,0.0010743,0.0039828,0.0086780,0.0011580,0.0481336,0.0018790,0.0076945,0.0417968,0.0020845,0.0075616,0.0129217,0.0003315,0.0016868
598,0.0264740,0.0691252,0.0010662,0.0021641,0.0060789,0.0131022,0.0168883,0.0115492,0.0131076,0.0011537,0.0009710,0.0010777,0.0479302,0.0895586,0.0042032,0.0033363,0.0036692,0.0002729,0.0002489,0.1727569,0.0477064,0.0893097,0.0155035,0.0384585,0.0095843,0.0021827,0.0039651,0.0006765,0.0003654,0.1723487,0.0152445,0.0380932,0.0025292,0.0008329,0.0012040,0.0474684,0.0056702,0.0127409,0.0062118,0.0257045,0.0133900,0.0017664,0.0041232,0.0013028,0.0004956,0.1717225,0.0058346,0.0252089,0.0035529,0.0006641,0.0012913,0.0684474,0.0038400,0.0121843,0.0037576,0.0171122,0.0280859,0.0013338,0.0043443,0.0053267,0.0007083,0.1676985,0.0032575,0.0164039,0.0091383,0.0005377,0.0014430,0.1247387,0.0031243,0.0113790,0.0019366,0.0120427,0.0582799,0.0009131,0.0045909,0.0099398,0.0011725,0.1650122,0.0013358,0.0108702,0.1505677,0.0014495,0.0099037,0.0192797,0.0003902,0.0017647
599,0.0154816,0.1114860,0.0010665,0.0020427,0.0052931,0.0105061,0.0126433,0.0082657,0.0102300,0.0012261,0.0009371,0.0010855,0.0270460,0.0484661,0.0040914,0.0028033,0.0033758,0.0002566,0.0002287,0.0698022,0.0267900,0.0482374,0.0117600,0.0279991,0.0066111,0.0023156,0.0035390,0.0004513,0.0003428,0.0696075,0.0113505,0.0276563,0.0016043,0.0008723,0.0011203,0.0197412,0.0058945,0.0097143,0.0069535,0.0183725,0.0079369,0.0020160,0.0036098,0.0008764,0.0004524,0.0691965,0.0066837,0.0179201,0.0019673,0.0007447,0.0011646,0.0268218,0.0048784,0.0094804,0.0036881,0.0129689,0.0160781,0.0015187,0.0037613,0.0019127,0.0006478,0.0690934,0.0032000,0.0123211,0.0043928,0.0005872,0.0012838,0.0390461,0.0030776,0.0089544,0.0021854,0.0096856,0.0240186,0.0011066,0.0039079,0.0066602,0.0010205,0.0681544,0.0017153,0.0086651,0.0615650,0.0019981,0.0080378,0.0071846,0.0004531,0.0015305
600,0.0138997,0.0969959,0.0013171,0.0029307,0.0092161,0.0198531,0.0270154,0.0152227,0.0202706,0.0018602,0.0011588,0.0013965,0.0774232,0.1101894,0.0069094,0.0043133,0.0053816,0.0003113,0.0002697,0.1452325,0.0771631,0.1099197,0.0148667,0.0643870,0.0117760,0.0024334,0.0057041,0.0008545,0.0004029,0.1446894,0.0146066,0.0639841,0.0032272,0.0008786,0.0015612,0.0492228,0.0063979,0.0193978,0.0088911,0.0399790,0.0146153,0.0019241,0.0059018,0.0019041,0.0005877,0.1436397,0.0085984,0.0393913,0.0042712,0.0007349,0.0016765,0.0780298,0.0048962,0.0191197,0.0032363,0.0274238,0.0232380,0.0014846,0.0062210,0.0031540,0.0008568,0.1433094,0.0028887,0.0265670,0.0055860,0.0005734,0.0018644,0.1041000,0.0026628,0.0178313,0.0022921,0.0190649,0.0634329,0.0011220,0.0066292,0.0097079,0.0014719,0.1433094,0.0019142,0.0175931,0.1231852,0.0021122,0.0155682,0.0128117,0.0003533,0.0023053
601,0.0160129,0.0699312,0.0013528,0.0027979,0.0077450,0.0155459,0.0169047,0.0116472,0.0152834,0.0014683,0.0012880,0.0013613,0.0435401,0.0672675,0.0054841,0.0040346,0.0047607,0.0003319,0.0002701,0.0863058,0.0432083,0.0669974,0.0211898,0.0476035,0.0070970,0.0034413,0.0048308,0.0006354,0.0004131,0.0861550,0.0208304,0.0471904,0.0018718,0.0011360,0.0013971,0.0243927,0.0089571,0.0151706,0.0078355,0.0317127,0.0090570,0.0027597,0.0049580,0.0015343,0.0005413,0.0860489,0.0075270,0.0311713,0.0026025,0.0009699,0.0014733,0.0400047,0.0058731,0.0149832,0.0058946,0.0210640,0.0186483,0.0021563,0.0052582,0.0026361,0.0008261,0.0855252,0.0049302,0.0202379,0.0051752,0.0006514,0.0016770,0.0596664,0.0045302,0.0138863,0.0025612,0.0149289,0.0281220,0.0011553,0.0055498,0.0067055,0.0013477,0.0826847,0.0017773,0.0135812,0.0786791,0.0021881,0.0122510,0.0097366,0.0004413,0.0020473
602,0.0112211,0.0486309,0.0011210,0.0021920,0.0060908,0.0123947,0.0172345,0.0075278,0.0114660,0.0014640,0.0009939,0.0011742,0.0345433,0.0616676,0.0058074,0.0027805,0.0039321,0.0002820,0.0002621,0.0863831,0.0342825,0.0614055,0.0091420,0.0287041,0.0085232,0.0024013,0.0040540,0.0004571,0.0003455,0.0862561,0.0088556,0.0283586,0.0019186,0.0008860,0.0012123,0.0290123,0.0052501,0.0112913,0.0057193,0.0205200,0.0120003,0.0018584,0.0041728,0.0009884,0.0004798,0.0862405,0.0053873,0.0200402,0.0024796,0.0007217,0.0012775,0.0490429,0.0038190,0.0109469,0.0039511,0.0149462,0.0190184,0.0012578,0.0042928,0.0027220,0.0006954,0.0845830,0.0035895,0.0142508,0.0040474,0.0005076,0.0013906,0.0626837,0.0030463,0.0104322,0.0019485,0.0109909,0.0273923,0.0008825,0.0044697,0.0092322,0.0011627,0.0845830,0.0013622,0.0098282,0.0795691,0.0017877,0.0092688,0.0101419,0.0003469,0.0017195
603,0.0247426,0.1152855,0.0009723,0.0019136,0.0048423,0.0091503,0.0113508,0.0074603,0.0089825,0.0012485,0.0007927,0.0010276,0.0201926,0.0303405,0.0039014,0.0022203,0.0031361,0.0002350,0.0002204,0.0486807,0.0199576,0.0301201,0.0074936,0.0179237,0.0046500,0.0017387,0.0032352,0.0005250,0.0003017,0.0483872,0.0071958,0.0176219,0.0015095,0.0006958,0.0010681,0.0178141,0.0036813,0.0085683,0.0046040,0.0131773,0.0066854,0.0013965,0.0033384,0.0009616,0.0004242,0.0479506,0.0042729,0.0127530,0.0020585,0.0006098,0.0011206,0.0230405,0.0031518,0.0081783,0.0028745,0.0099467,0.0132175,0.0010939,0.0034849,0.0028706,0.0006584,0.0470910,0.0025235,0.0092883,0.0044395,0.0004969,0.0012719,0.0358803,0.0022882,0.0074556,0.0017530,0.0077005,0.0206751,0.0008012,0.0036205,0.0075997,0.0011232,0.0470757,0.0013167,0.0065773,0.0451601,0.0014152,0.0066648,0.0100472,0.0004133,0.0015999
604,0.0153482,0.1569814,0.0008938,0.0016921,0.0044527,0.0093919,0.0112439,0.0067505,0.0091960,0.0010008,0.0007984,0.0009085,0.0270450,0.0584746,0.0029783,0.0021521,0.0027355,0.0002816,0.0002236,0.1152727,0.0268281,0.0582511,0.0068679,0.0286157,0.0046031,0.0017244,0.0028676,0.0004120,0.0002958,0.1151581,0.0065831,0.0283199,0.0012967,0.0006880,0.0009573,0.0148260,0.0038565,0.0088193,0.0045459,0.0179693,0.0058674,0.0014929,0.0030082,0.0010313,0.0004099,0.1148999,0.0042103,0.0175594,0.0020370,0.0006255,0.0010255,0.0223544,0.0030790,0.0083626,0.0030305,0.0117931,0.0100456,0.0011612,0.0031661,0.0018728,0.0005904,0.1140692,0.0026887,0.0112027,0.0038432,0.0005171,0.0011448,0.0845877,0.0023013,0.0079213,0.0016935,0.0082946,0.0291785,0.0008105,0.0033500,0.0049766,0.0009222,0.1107073,0.0013744,0.0073725,0.1085513,0.0015160,0.0069089,0.0068272,0.0003873,0.0013640
605,0.0091114,0.0323911,0.0005024,0.0008165,0.0017347,0.0033867,0.0036279,0.0029580,0.0033375,0.0005607,0.0004623,0.0005093,0.0091609,0.0193636,0.0013832,0.0010162,0.0011939,0.0001703,0.0001512,0.0434472,0.0090372,0.0192124,0.0028398,0.0080740,0.0016714,0.0008765,0.0012222,0.0002573,0.0001990,0.0433701,0.0026064,0.0078750,0.0006422,0.0004308,0.0005207,0.0090962,0.0017703,0.0034098,0.0020896,0.0054856,0.0033569,0.0007419,0.0012664,0.0005397,0.0002508,0.0430777,0.0018760,0.0052349,0.0009991,0.0003601,0.0005361,0.0151885,0.0014523,0.0031499,0.0013470,0.0038216,0.0074624,0.0006883,0.0013351,0.0013286,0.0003343,0.0427334,0.0010203,0.0034873,0.0019880,0.0003203,0.0005780,0.0365716,0.0011517,0.0028577,0.0008800,0.0029659,0.0125580,0.0004955,0.0013974,0.0033743,0.0004775,0.0422667,0.0006226,0.0024884,0.0395334,0.0007926,0.0025444,0.0042416,0.0002418,0.0006628
606,0.0124794,0.0509787,0.0004959,0.0007946,0.0016672,0.0032289,0.0040544,0.0026856,0.0031316,0.0005159,0.0004638,0.0004987,0.0092259,0.0108283,0.0012301,0.0010055,0.0011489,0.0001554,0.0001277,0.0131304,0.0090705,0.0107006,0.0025098,0.0063861,0.0018584,0.0008308,0.0011884,0.0002554,0.0001950,0.0131304,0.0023068,0.0061911,0.0006247,0.0004287,0.0005113,0.0053042,0.0015761,0.0030178,0.0018704,0.0048557,0.0027521,0.0007481,0.0012223,0.0004459,0.0002481,0.0129999,0.0016222,0.0046076,0.0009542,0.0004050,0.0005293,0.0075560,0.0013437,0.0028700,0.0014770,0.0035624,0.0050089,0.0006298,0.0012716,0.0008542,0.0003267,0.0129525,0.0012212,0.0032357,0.0016207,0.0003625,0.0005622,0.0097643,0.0011838,0.0026479,0.0009804,0.0027572,0.0067417,0.0005402,0.0013208,0.0028113,0.0004696,0.0128948,0.0007397,0.0022875,0.0117568,0.0008832,0.0023733,0.0031601,0.0002655,0.0006422
607,0.0355143,0.2258819,0.0008247,0.0014744,0.0031816,0.0051579,0.0055054,0.0048661,0.0051492,0.0008544,0.0007742,0.0008273,0.0146309,0.0208169,0.0022681,0.0020624,0.0021684,0.0002573,0.0002217,0.0369049,0.0143737,0.0205952,0.0067524,0.0117603,0.0027233,0.0017836,0.0021882,0.0003782,0.0002954,0.0367683,0.0064934,0.0114649,0.0009811,0.0007206,0.0008384,0.0071285,0.0039598,0.0050867,0.0046663,0.0087155,0.0031478,0.0016004,0.0022099,0.0005696,0.0003683,0.0366635,0.0043050,0.0083472,0.0012636,0.0006068,0.0008630,0.0085051,0.0034808,0.0050266,0.0030463,0.0066393,0.0045553,0.0012376,0.0022669,0.0011853,0.0005017,0.0365586,0.0026336,0.0061376,0.0020599,0.0004594,0.0009199,0.0239755,0.0024290,0.0048281,0.0016821,0.0051959,0.0084564,0.0008114,0.0023456,0.0030138,0.0007321,0.0359263,0.0012302,0.0044639,0.0339970,0.0014823,0.0044483,0.0038792,0.0003354,0.0010436
608,0.0282405,0.1327713,0.0008632,0.0015885,0.0037421,0.0069832,0.0099379,0.0048547,0.0068896,0.0009704,0.0007888,0.0008742,0.0116334,0.0325329,0.0030559,0.0020734,0.0024648,0.0002433,0.0002325,0.0705865,0.0113931,0.0323004,0.0075887,0.0169165,0.0040437,0.0018589,0.0025267,0.0004248,0.0002947,0.0705029,0.0073157,0.0166218,0.0012165,0.0007286,0.0008921,0.0151228,0.0044132,0.0066333,0.0059936,0.0119800,0.0052066,0.0015556,0.0025801,0.0008662,0.0003816,0.0705029,0.0055008,0.0115984,0.0017419,0.0006262,0.0009294,0.0206392,0.0032680,0.0064554,0.0030191,0.0086550,0.0077976,0.0013096,0.0026759,0.0023264,0.0005381,0.0702141,0.0025740,0.0081169,0.0033368,0.0005253,0.0010034,0.0382043,0.0025679,0.0061361,0.0016294,0.0065442,0.0156700,0.0009019,0.0027920,0.0054148,0.0008274,0.0695827,0.0012230,0.0057168,0.0636534,0.0014448,0.0055338,0.0059341,0.0003235,0.0011788
609,0.0485730,0.3044088,0.0008045,0.0014394,0.0031656,0.0053041,0.0060221,0.0046089,0.0052582,0.0008803,0.0007645,0.0008090,0.0151958,0.0179817,0.0024170,0.0020015,0.0021447,0.0002323,0.0001839,0.0222980,0.0149975,0.0177978,0.0055658,0.0121956,0.0028073,0.0017013,0.0021581,0.0004110,0.0002799,0.0221709,0.0054661,0.0119157,0.0009697,0.0007015,0.0008195,0.0073113,0.0036934,0.0052402,0.0044230,0.0092620,0.0033304,0.0014753,0.0021940,0.0005747,0.0003533,0.0221137,0.0040578,0.0089087,0.0011997,0.0006245,0.0008367,0.0084480,0.0031339,0.0051463,0.0030461,0.0068344,0.0042637,0.0010899,0.0022446,0.0010738,0.0004832,0.0215285,0.0027232,0.0063512,0.0019808,0.0004891,0.0008949,0.0171735,0.0021128,0.0049396,0.0017929,0.0053040,0.0072561,0.0008462,0.0023322,0.0026712,0.0007183,0.0213820,0.0013119,0.0045857,0.0215816,0.0014575,0.0045082,0.0033623,0.0003410,0.0010184
