OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28,CLASS_29,CLASS_30,CLASS_31,CLASS_32
116,OBJEC_131,0,0,0,1,1,23,372,3037,12137,25398,31439,23803,9375,3437,1146,471,205,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,OBJEC_132,0,0,0,0,0,2,11,64,385,1822,5287,11456,18608,26246,24991,15378,5295,1348,260,55,12,2,0,0,0,0,0,0,0,0,0,0
118,OBJEC_133,0,0,0,0,0,1,27,265,1582,6101,13919,22079,24129,21123,12683,6120,2223,848,302,104,34,14,2,0,0,0,0,0,0,0,0,0
119,OBJEC_134,0,0,0,0,0,0,1,50,367,1617,5181,10874,17897,23412,22398,15189,7529,3392,1851,911,414,120,19,0,0,0,0,0,0,0,0,0
120,OBJEC_135,0,0,0,0,0,3,6,163,865,3557,9683,18250,24922,25114,17162,8306,2552,558,78,3,0,0,0,0,0,0,0,0,0,0,0,0
121,OBJEC_136,0,0,0,0,0,8,82,767,3365,8168,14015,17259,16972,16864,14049,10066,5794,2719,1012,301,106,9,0,0,0,0,0,0,0,0,0,0
122,OBJEC_137,0,0,0,0,0,11,166,1210,5284,13212,21016,23212,15665,10806,7978,6365,3936,1340,379,181,103,20,5,0,0,0,0,0,0,0,0,0
123,OBJEC_138,0,0,0,0,0,6,58,516,3002,9913,19961,28850,25038,15955,5916,1407,251,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,OBJEC_139,0,0,0,0,1,20,265,2564,10785,23532,30544,24957,11844,4433,1427,391,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,OBJEC_142,0,0,0,0,1,3,44,255,1438,5024,11247,19170,22337,21731,14511,8677,4097,1726,656,239,58,8,0,0,0,0,0,0,0,0,0,0
126,OBJEC_143,0,0,0,0,0,2,3,54,322,1222,3326,7009,11153,16738,20887,21449,15526,8030,3916,1411,411,88,7,2,0,0,0,0,0,0,0,0
127,OBJEC_144,0,0,0,0,2,2,88,857,4547,12419,22267,28509,21740,12188,4777,1843,878,497,299,175,88,38,8,0,0,0,0,0,0,0,0,0
128,OBJEC_145,0,0,0,0,0,0,30,174,1052,3635,8758,16600,21590,23890,18313,9695,4282,1822,763,203,69,13,0,0,0,0,0,0,0,0,0,0
129,OBJEC_146,0,0,0,0,0,1,5,9,75,372,1521,4220,8962,16040,22636,24379,17632,8940,3953,1422,494,204,24,0,0,0,0,0,0,0,0,0
130,OBJEC_147,0,0,0,0,0,0,9,60,460,2022,5621,11303,17598,23470,23290,15669,7474,2803,999,317,94,23,7,3,0,0,0,0,0,0,0,0
131,OBJEC_148,0,0,0,0,0,1,10,95,573,2375,6761,13335,20321,25080,22920,13703,4744,1015,235,49,5,0,0,0,0,0,0,0,0,0,0,0
132,OBJEC_150,0,0,0,0,0,0,5,79,407,1781,5007,10446,15410,19620,21593,19524,11378,4078,1264,235,51,9,2,0,0,0,0,0,0,0,0,0
133,OBJEC_151,0,0,1,0,0,1,37,328,2073,7196,15851,24074,24259,19471,12034,4861,903,118,15,0,0,0,0,0,0,0,0,0,0,0,0,0
134,OBJEC_153,0,0,0,0,1,3,29,312,1759,6233,14093,23464,25916,21530,11366,4558,1224,335,63,3,0,0,0,0,0,0,0,0,0,0,0,0
135,OBJEC_154,0,0,0,0,0,3,53,520,2730,7142,13345,19293,19917,18532,13402,8423,4502,1900,726,251,89,41,10,10,0,0,0,0,0,0,0,0
136,OBJEC_155,0,0,0,0,1,4,82,572,3176,10454,21370,29853,25190,14814,4557,942,147,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0
137,OBJEC_156,0,0,0,0,0,0,24,199,909,2696,5441,9506,13682,19241,22057,18895,11814,4823,1455,382,96,2,0,0,0,0,0,0,0,0,0,0
138,OBJEC_157,0,0,0,0,0,0,15,144,787,2826,7387,14554,22245,24910,16013,8579,5400,3628,2418,1385,506,301,112,12,0,0,0,0,0,0,0,0
139,OBJEC_158,0,0,0,0,4,5,49,361,2273,8285,17986,27437,26575,18151,7306,2013,361,72,11,0,0,0,0,0,0,0,0,0,0,0,0,0
140,OBJEC_159,0,0,0,0,2,35,679,5310,20229,33254,30158,15935,3865,1152,247,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,OBJEC_160,0,0,0,0,0,4,14,118,541,2174,4892,9242,12378,16175,18358,17689,14045,8387,4114,1821,753,352,122,42,1,0,0,0,0,0,0,0
142,OBJEC_161,0,0,0,0,0,4,65,406,2332,7954,16351,24717,24015,18442,10370,4673,1421,346,90,32,4,0,0,0,0,0,0,0,0,0,0,0
143,OBJEC_162,0,0,0,1,1,24,267,2096,9424,21877,31124,28850,12656,3728,756,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,OBJEC_163,0,0,0,0,0,1,55,448,2628,8798,18811,28278,26973,17522,6003,1200,159,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,OBJEC_164,0,0,0,0,0,6,49,388,2158,6676,12941,17916,16053,14620,11745,10818,8446,4709,2225,1112,658,319,182,137,48,15,1,0,0,0,0,0
146,OBJEC_165,0,0,0,0,0,1,5,57,272,1047,3113,6667,11465,17259,20359,19520,14886,9258,4413,1731,557,186,82,11,0,0,0,0,0,0,0,0
147,OBJEC_166,0,0,0,0,0,1,21,134,840,2983,7332,13884,18951,23318,20325,13464,7034,2536,506,90,65,60,12,0,0,0,0,0,0,0,0,0
148,OBJEC_167,0,0,0,0,1,6,109,1026,5050,14544,25207,31010,20912,9625,2741,586,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,OBJEC_168,0,0,0,0,0,6,70,614,3173,8556,14114,16639,15049,16268,16207,11916,5656,1786,616,150,63,6,0,0,0,0,0,0,0,0,0,0
150,OBJEC_169,0,0,0,0,0,0,2,31,268,1151,3614,8036,13955,21773,24908,20190,11485,4056,1134,222,51,13,0,0,0,0,0,0,0,0,0,0
151,OBJEC_170,0,0,0,0,0,0,7,105,673,2797,7228,14096,19888,22641,18841,12727,7081,3164,1060,370,116,82,13,0,0,0,0,0,0,0,0,0
152,OBJEC_171,0,0,0,0,0,0,0,9,91,429,1713,4233,8656,14991,20255,21517,17238,10828,5977,3043,1309,614,193,88,38,0,0,0,0,0,0,0
153,OBJEC_172,0,0,0,0,1,4,56,482,2988,10232,20593,29169,25358,16018,5155,1087,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,OBJEC_173,0,0,0,0,0,7,43,362,2009,7090,15461,24950,25657,20445,10184,3548,901,205,25,2,0,0,0,0,0,0,0,0,0,0,0,0
155,OBJEC_174,0,0,0,0,0,1,23,211,1239,5007,12782,22420,27700,25078,12867,3599,544,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0
156,OBJEC_175,0,0,0,0,0,2,40,320,1957,7053,15897,25614,28202,21526,8533,1870,198,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,OBJEC_176,0,0,0,0,0,0,26,215,1408,5035,11310,20156,24421,23356,14790,6419,2890,991,178,21,6,0,0,0,0,0,0,0,0,0,0,0
158,OBJEC_177,0,0,0,0,0,1,4,106,556,2220,6939,14335,20937,24915,21364,12793,4858,1301,424,113,23,0,0,0,0,0,0,0,0,0,0,0
159,OBJEC_178,0,0,0,0,0,2,13,45,240,1068,3314,7290,12665,18978,21649,19226,12986,7234,3585,1709,732,319,129,36,2,0,0,0,0,0,0,0
160,OBJEC_179,0,0,0,0,0,0,2,54,392,1623,4928,10722,16741,23251,23752,17580,8228,2516,773,232,77,18,0,0,0,0,0,0,0,0,0,0
161,OBJEC_180,0,0,0,0,0,19,304,2193,9865,21930,28797,25696,13076,6154,2153,614,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,OBJEC_181,0,0,0,0,2,4,81,961,4761,12682,20567,22795,15149,10192,7965,7254,5278,2426,635,119,15,3,0,0,0,0,0,0,0,0,0,0
