OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,Point_ID,S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var
55,0.0183411,0.1676117,0.0013428,0.0027191,0.0065645,0.0122039,55,851,1.0000000,62.0000000,1922.0000000,55.5111122,0.9712445,1592.7388916
56,0.0172872,0.1445337,0.0013288,0.0026325,0.0063440,0.0113731,56,113,1.0000000,62.0000000,1922.0000000,56.4638901,0.9746617,1640.7972412
57,0.0208352,0.1638087,0.0012156,0.0023617,0.0058205,0.0105495,57,530,1.0000000,62.0000000,1922.0000000,57.3777771,0.9761599,1689.2611084
58,0.0234870,0.2284958,0.0012986,0.0027068,0.0071623,0.0139462,58,1477,1.0000000,62.0000000,1922.0000000,58.2861099,0.9806182,1734.8750000
59,0.0130300,0.1784667,0.0011606,0.0022790,0.0057927,0.0115114,59,1250,0.9999884,61.9777794,1920.6444092,53.9861107,0.9637763,1521.4860840
60,0.0094569,0.1776899,0.0011484,0.0022012,0.0054674,0.0108141,60,62,0.9999913,61.9833336,1920.9832764,55.1805573,0.9686596,1579.5194092
61,0.0120257,0.1757502,0.0012585,0.0025165,0.0061905,0.0114272,61,1170,0.9999956,61.9916649,1921.4916992,56.2694435,0.9711613,1635.0527344
62,0.0226601,0.2225093,0.0010806,0.0021389,0.0053113,0.0097147,62,259,1.0000000,62.0000000,1922.0000000,57.3111115,0.9756893,1686.0444336
63,0.0491722,0.1390528,0.0019944,0.0042256,0.0109329,0.0248411,63,1291,1.0000000,62.0000000,1922.0000000,61.0916672,0.9949051,1877.1583252
64,0.0515797,0.2670730,0.0020801,0.0043390,0.0097625,0.0205257,64,583,1.0000000,62.0000000,1922.0000000,61.1916656,0.9951621,1881.5527344
65,0.0098815,0.0740553,0.0013366,0.0026730,0.0064448,0.0121978,65,1009,1.0000000,62.0000000,1922.0000000,60.3611107,0.9913095,1840.4610596
66,0.0293523,0.1252432,0.0012501,0.0024260,0.0058200,0.0105405,66,1158,1.0000000,62.0000000,1922.0000000,60.5611115,0.9921815,1849.5999756
67,0.0126981,0.1383726,0.0011411,0.0022548,0.0057097,0.0102779,67,1159,1.0000000,62.0000000,1922.0000000,59.6361122,0.9877729,1803.5916748
68,0.0243405,0.1178871,0.0009552,0.0017823,0.0040521,0.0066661,68,469,1.0000000,62.0000000,1922.0000000,59.8916664,0.9890883,1815.3305664
69,0.0205457,0.1973848,0.0009953,0.0019585,0.0050045,0.0099931,69,467,1.0000000,62.0000000,1922.0000000,58.7833328,0.9829128,1760.2556152
70,0.0193435,0.1545228,0.0008754,0.0016293,0.0037396,0.0064490,70,1209,1.0000000,62.0000000,1922.0000000,59.0722237,0.9846533,1773.4499512
71,0.0238572,0.1899061,0.0009634,0.0018573,0.0044774,0.0080993,71,610,1.0000000,62.0000000,1922.0000000,57.9361115,0.9791510,1716.4361572
72,0.0169686,0.1415269,0.0008701,0.0016752,0.0039767,0.0071888,72,222,1.0000000,62.0000000,1922.0000000,58.3861122,0.9817932,1736.9860840
