OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28
793,OBJEC_845,1316,11777,14189,59166,16732,4521,1767,529,159,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,OBJEC_846,1382,12335,13846,55933,16073,5498,2776,1124,443,226,127,56,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,OBJEC_847,995,8867,10853,53030,20983,7948,4131,1699,769,330,126,72,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,OBJEC_848,457,4631,5669,32013,20338,12940,10639,6228,4003,2849,1927,1493,5321,715,215,87,22,6,3,1,4,0,0,0,0,0,0,0
797,OBJEC_849,648,5735,7495,44643,25630,12323,7267,3249,1467,707,313,154,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,OBJEC_850,825,7279,8920,38150,16534,9954,7631,4942,3389,2521,1765,1449,5663,859,181,64,41,23,14,15,5,0,0,0,0,0,0,0
799,OBJEC_851,1113,10406,12843,59861,18612,4990,1624,361,52,20,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,OBJEC_852,811,7796,10660,58584,21728,6827,2867,773,118,49,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,OBJEC_853,1237,10811,13174,58499,18805,5281,1844,457,87,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,OBJEC_854,991,9142,11759,58319,19851,6281,2706,693,115,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,OBJEC_855,1011,9121,11856,58014,20352,6443,2355,573,126,34,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,OBJEC_856,312,2685,3549,21976,16590,13315,11953,8953,6718,5223,3855,3005,9755,1419,417,72,14,16,18,10,8,28,1,0,0,0,0,0
805,OBJEC_857,273,2655,3923,27228,19500,13379,11905,8488,5956,4564,3120,2232,5839,380,89,13,6,10,1,0,0,0,0,0,0,0,0,0
806,OBJEC_858,1180,10411,13362,60327,19246,4577,971,134,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,OBJEC_859,1445,12243,13767,45522,10216,3965,3058,2499,2210,1910,1703,1397,6822,1818,672,239,142,63,39,35,43,72,12,0,0,0,0,0
808,OBJEC_860,807,7395,9906,56034,23348,7836,3135,824,191,60,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,OBJEC_861,858,7993,10498,57293,23082,7409,2427,517,120,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,OBJEC_862,887,7717,9523,51302,23654,8782,4578,1805,775,472,220,137,356,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
811,OBJEC_863,649,5850,7549,42680,24519,12865,7978,3971,1914,954,411,205,345,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,OBJEC_864,1379,12260,14891,60278,15779,3777,1155,266,75,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,OBJEC_865,1172,10924,13430,60451,17731,4369,1522,267,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814,OBJEC_866,1028,8191,9992,52339,23268,8301,4312,1611,584,280,118,57,140,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,OBJEC_867,942,8791,10826,52894,21454,7680,3651,1500,526,360,252,185,505,127,50,34,26,32,26,20,6,5,0,0,0,0,0,0
816,OBJEC_868,1169,10255,13284,60772,18216,4688,1204,265,27,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,OBJEC_870,925,8415,10813,56538,22103,6795,3025,988,286,125,74,67,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,OBJEC_871,1546,12875,15367,60129,14951,3418,1137,302,113,45,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,OBJEC_872,986,8104,10842,52648,21802,7592,3090,1343,828,539,413,301,1298,102,3,0,0,0,0,0,0,0,0,0,0,0,0,0
820,OBJEC_873,1207,10126,13035,60328,18678,4631,1543,386,121,80,47,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,OBJEC_874,787,6317,7653,41547,20292,8910,6079,3844,3002,2502,1749,1442,5243,638,147,25,18,9,4,6,0,10,0,0,0,0,0,0
822,OBJEC_875,849,7592,9953,52004,21746,8196,5269,2271,1074,544,299,142,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,OBJEC_876,703,6805,8852,49819,23649,10231,5254,2283,1055,580,278,169,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,OBJEC_877,267,2268,3054,21988,15880,11723,10471,8121,6254,5165,4140,3630,14525,1883,371,139,45,45,34,38,31,119,33,0,0,0,0,0
