S1_pixel_ID,date,moran,z,p
487,219,0.707136,39.558523,0
488,219,0.576688,32.258526,0
490,219,0.662113,37.185338,0
491,219,0.573655,32.101058,0
492,219,0.521204,29.186144,0
494,219,0.596655,33.525511,0
495,219,0.40475,22.605147,0
496,219,0.508093,28.717355,0
499,219,0.590344,33.742476,0
501,219,0.455227,25.646354,0
502,219,0.622143,34.780656,0
503,219,0.490049,27.408136,0
504,219,0.586434,32.811472,0
505,219,0.63977,35.719033,0
506,219,0.680362,38.133945,0
507,219,0.499288,27.962882,0
508,219,0.479046,26.802156,0
509,219,0.567363,31.833165,0
510,219,0.548037,30.613032,0
511,219,0.520255,29.123523,0
513,219,0.694858,38.832773,0
514,219,0.664188,37.171903,0
515,219,0.640597,35.860039,0
516,219,0.517812,29.179869,0
517,219,0.570369,32.035559,0
519,219,0.476463,26.780168,0
521,219,0.615343,34.836781,0
522,219,0.519712,29.15553,0
523,219,0.483298,27.010595,0
524,219,0.588451,32.922717,0
525,219,0.574449,32.195096,0
527,219,0.555366,31.011103,0
528,219,0.545989,30.494484,0
529,219,0.387253,21.642841,0
530,219,0.529006,29.556187,0
531,219,0.551922,30.867767,0
532,219,0.497689,27.814418,0
533,219,0.610558,34.159866,0
534,219,0.614476,34.335582,0
535,219,0.509587,28.509866,0
536,219,0.765606,42.712356,0
537,219,0.478935,26.781219,0
538,219,0.614162,34.349614,0
539,219,0.533544,29.8738,0
541,219,0.524856,29.555215,0
542,219,0.577489,32.296416,0
543,219,0.660646,37.181359,0
544,219,0.567801,31.843468,0
546,219,0.569168,31.810098,0
548,219,0.653446,36.670034,0
549,219,0.502744,28.113792,0
552,219,0.680692,38.101385,0
553,219,0.669678,37.768288,0
555,219,0.527488,29.467122,0
556,219,0.523078,29.229187,0
557,219,0.439189,24.589647,0
558,219,0.565906,31.620983,0
559,219,0.618567,34.590484,0
560,219,0.614091,34.366826,0
561,219,0.54384,30.452425,0
562,219,0.588694,34.078929,0
564,219,0.488132,27.307932,0
565,219,0.53197,29.748662,0
566,219,0.615035,34.400507,0
567,219,0.753788,42.170635,0
568,219,0.626209,35.091393,0
569,219,0.343938,19.212147,0
570,219,0.690658,38.64406,0
571,219,0.437563,24.45079,0
572,219,0.604504,33.863137,0
573,219,0.693341,38.776201,0
574,219,0.591386,33.063412,0
575,219,0.477787,26.707542,0
577,219,0.4828,27.238604,0
578,219,0.643971,36.152961,0
579,219,0.484407,27.100245,0
580,219,0.527608,29.844762,0
581,219,0.608751,34.039863,0
582,219,0.581871,32.581117,0
583,219,0.5337,29.871365,0
584,219,0.842929,47.492656,0
585,219,0.836709,47.019994,0
588,219,0.482778,26.978599,0
589,219,0.525399,29.427973,0
590,219,0.70303,39.512604,0
591,219,0.532804,29.847664,0
592,219,0.495827,27.704748,0
593,219,0.650163,36.405043,0
595,219,0.55931,31.244287,0
596,219,0.520661,29.182563,0
597,219,0.720197,40.615212,0
599,219,0.531495,29.699667,0
600,219,0.569615,31.833817,0
601,219,0.469869,26.3262,0
602,219,0.611612,34.275992,0
