OID_,vh_raw,vv_raw,zonal_0304_10m_p5,zonal_0304_10m_p25,zonal_0304_10m_p75,zonal_0304_10m_p95,Point_ID,S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var,zonal_0304_5m_p95_max,zonal_0304_5m_p95_min,zonal_0304_5m_p95_mean,zonal_0304_5m_p5_max,zonal_0304_5m_p5_min,zonal_0304_5m_p5_mean,zonal_0304_5m_range_max,zonal_0304_5m_range_min,zonal_0304_5m_range_mean,zonal_0304_5m_min_max,zonal_0304_5m_min_mean,zonal_0304_5m_med_max,zonal_0304_5m_med_min,zonal_0304_5m_med_mean,zonal_0304_5m_max_min,zonal_0304_5m_max_mean,zonal_0304_2m_max_min,zonal_0304_2m_max_mean,zonal_0304_2m_med_max,zonal_0304_2m_med_min,zonal_0304_2m_med_mean,zonal_0304_2m_min_max,zonal_0304_2m_min_mean,zonal_0304_2m_range_max,zonal_0304_2m_range_min,zonal_0304_2m_range_mean,zonal_0304_2m_p5_max,zonal_0304_2m_p5_min,zonal_0304_2m_p5_mean,zonal_0304_2m_p95_max,zonal_0304_2m_p95_min,zonal_0304_2m_p95_mean,zonal_0304_1m_p95_max,zonal_0304_1m_p95_min,zonal_0304_1m_p95_mean,zonal_0304_1m_p5_max,zonal_0304_1m_p5_min,zonal_0304_1m_p5_mean,zonal_0304_1m_range_max,zonal_0304_1m_range_min,zonal_0304_1m_range_mean,zonal_0304_1m_min_max,zonal_0304_1m_min_mean,zonal_0304_1m_med_max,zonal_0304_1m_med_min,zonal_0304_1m_med_mean,zonal_0304_1m_max_min,zonal_0304_1m_max_mean,zonal_0304_50cm_max_min,zonal_0304_50cm_max_mean,zonal_0304_50cm_med_max,zonal_0304_50cm_med_min,zonal_0304_50cm_med_mean,zonal_0304_50cm_min_max,zonal_0304_50cm_min_mean,zonal_0304_50cm_range_max,zonal_0304_50cm_range_min,zonal_0304_50cm_range_mean,zonal_0304_50cm_p5_max,zonal_0304_50cm_p5_min,zonal_0304_50cm_p5_mean,zonal_0304_50cm_p95_max,zonal_0304_50cm_p95_min,zonal_0304_50cm_p95_mean,zonal_0304_25cm_max_1_min,zonal_0304_25cm_max_1_mean,zonal_0304_25cm_med_1_max,zonal_0304_25cm_med_1_min,zonal_0304_25cm_med_1_mean,zonal_0304_25cm_min_1_max,zonal_0304_25cm_min_1_mean,zonal_0304_25cm_range_1_max,zonal_0304_25cm_range_1_min,zonal_0304_25cm_range_1_mean,zonal_0304_25cm_p5_1_max,zonal_0304_25cm_p5_1_min,zonal_0304_25cm_p5_1_mean,zonal_0304_25cm_p95_1_max,zonal_0304_25cm_p95_1_min,zonal_0304_25cm_p95_1_mean,zonal_0304_10m_range,zonal_0304_10m_min,zonal_0304_10m_med,zonal_0304_10m_max
1240,0.0028525,0.0272139,0.0007245,0.0011735,0.0023059,0.0040465,1240,2209,0.9978999,60.8527794,1855.7083740,29.0805550,0.8419280,605.4027710,0.0044056,0.0037600,0.0040501,0.0007612,0.0006864,0.0007286,0.0120776,0.0067157,0.0097049,0.0002558,0.0002042,0.0017402,0.0015658,0.0016723,0.0069273,0.0099091,0.0047578,0.0075543,0.0019846,0.0013124,0.0016811,0.0003523,0.0002590,0.0118656,0.0045350,0.0072953,0.0008412,0.0006191,0.0007333,0.0053253,0.0028269,0.0039875,0.0069762,0.0020412,0.0038713,0.0009408,0.0005724,0.0007443,0.0117901,0.0031049,0.0058422,0.0005277,0.0003345,0.0023146,0.0010857,0.0016991,0.0033508,0.0061767,0.0018208,0.0050100,0.0037143,0.0009948,0.0017245,0.0008204,0.0004388,0.0117901,0.0013905,0.0045712,0.0013185,0.0004605,0.0007708,0.0091524,0.0015867,0.0037164,0.0014413,0.0039478,0.0052624,0.0007780,0.0017839,0.0020184,0.0006242,0.0112416,0.0009371,0.0033236,0.0023293,0.0003143,0.0008616,0.0109549,0.0012321,0.0033729,0.0120776,0.0001403,0.0016729,0.0122178
1241,0.0027262,0.0278997,0.0007255,0.0011765,0.0023599,0.0044023,1241,2207,0.9977494,60.7777786,1851.3778076,30.1111107,0.8415607,634.1722412,0.0047423,0.0041713,0.0043869,0.0007640,0.0006656,0.0007308,0.0120829,0.0098985,0.0111808,0.0002482,0.0001373,0.0018529,0.0014822,0.0017017,0.0100936,0.0113181,0.0047912,0.0085448,0.0021757,0.0012308,0.0017141,0.0003260,0.0002529,0.0118500,0.0047336,0.0082919,0.0008829,0.0006073,0.0007403,0.0052836,0.0025046,0.0041925,0.0072878,0.0018842,0.0040822,0.0010811,0.0005700,0.0007567,0.0118037,0.0028370,0.0063931,0.0005115,0.0003323,0.0028054,0.0010663,0.0017356,0.0031315,0.0067254,0.0020568,0.0052501,0.0046940,0.0009208,0.0017745,0.0008742,0.0004498,0.0116607,0.0017257,0.0048003,0.0016787,0.0004919,0.0007959,0.0097331,0.0015406,0.0038774,0.0012963,0.0040681,0.0058767,0.0007662,0.0018413,0.0025261,0.0006510,0.0115300,0.0010574,0.0034171,0.0034655,0.0003796,0.0008933,0.0115840,0.0010987,0.0034763,0.0120972,0.0000458,0.0016976,0.0121430
1242,0.0040379,0.0205654,0.0006789,0.0010497,0.0019468,0.0030324,1242,2477,0.9977970,60.7722206,1850.9666748,24.2805557,0.7745407,443.4527893,0.0031532,0.0028009,0.0030313,0.0006896,0.0006576,0.0006795,0.0085405,0.0059684,0.0072151,0.0001288,0.0000657,0.0014996,0.0013677,0.0014531,0.0059969,0.0072808,0.0039924,0.0057848,0.0017189,0.0012959,0.0014603,0.0002978,0.0001947,0.0085405,0.0038431,0.0055901,0.0007472,0.0006377,0.0006823,0.0038498,0.0024271,0.0030024,0.0043945,0.0019228,0.0029553,0.0008593,0.0005903,0.0006908,0.0085405,0.0028479,0.0045511,0.0004420,0.0002859,0.0019599,0.0010783,0.0014678,0.0031884,0.0048370,0.0018381,0.0039716,0.0025300,0.0009684,0.0014790,0.0007742,0.0003944,0.0081382,0.0014719,0.0035772,0.0011223,0.0004789,0.0007129,0.0052832,0.0015937,0.0028789,0.0013438,0.0031617,0.0035221,0.0008028,0.0015051,0.0017784,0.0005549,0.0080088,0.0010034,0.0026068,0.0020709,0.0003503,0.0007708,0.0064479,0.0012340,0.0026878,0.0086408,0.0000285,0.0014530,0.0086693
1243,0.0047599,0.0314049,0.0007065,0.0011207,0.0021775,0.0037926,1243,1759,0.9978746,60.8111115,1853.1833496,26.2250004,0.8110853,497.8583374,0.0042162,0.0033567,0.0037749,0.0007470,0.0006767,0.0007087,0.0152219,0.0084494,0.0121390,0.0002472,0.0001126,0.0017304,0.0014803,0.0015877,0.0085095,0.0122516,0.0052741,0.0076121,0.0019952,0.0013147,0.0015943,0.0003231,0.0001992,0.0149880,0.0050573,0.0074129,0.0008305,0.0006305,0.0007161,0.0066879,0.0026963,0.0037647,0.0097995,0.0020759,0.0036999,0.0010134,0.0005950,0.0007272,0.0149116,0.0030383,0.0057095,0.0005297,0.0003036,0.0021888,0.0012019,0.0016075,0.0033545,0.0060131,0.0023008,0.0048383,0.0035424,0.0009564,0.0016430,0.0010286,0.0004162,0.0149116,0.0019807,0.0044221,0.0014569,0.0005032,0.0007553,0.0123846,0.0017775,0.0034926,0.0012368,0.0037669,0.0100598,0.0007232,0.0016939,0.0029894,0.0005991,0.0129682,0.0008777,0.0031678,0.0045082,0.0003748,0.0008339,0.0145840,0.0011139,0.0031992,0.0152354,0.0000601,0.0015803,0.0152954
1244,0.0046698,0.0268798,0.0006380,0.0009714,0.0018799,0.0036329,1244,1750,0.9977204,60.7305565,1848.5139160,27.2388897,0.8126706,525.1889038,0.0046875,0.0022955,0.0034610,0.0007007,0.0005960,0.0006463,0.0140632,0.0065517,0.0099749,0.0000763,0.0000560,0.0015881,0.0011719,0.0013653,0.0065921,0.0100309,0.0036207,0.0072332,0.0021669,0.0010928,0.0013995,0.0003157,0.0001775,0.0138230,0.0035804,0.0070557,0.0008318,0.0005702,0.0006550,0.0065332,0.0020542,0.0032639,0.0085932,0.0017668,0.0031686,0.0010382,0.0005182,0.0006654,0.0137528,0.0023653,0.0051477,0.0006661,0.0002767,0.0026906,0.0009969,0.0014287,0.0026338,0.0054244,0.0018603,0.0042120,0.0037219,0.0008432,0.0014552,0.0010534,0.0003827,0.0137528,0.0014257,0.0038293,0.0013770,0.0004499,0.0006912,0.0100613,0.0015826,0.0030464,0.0011996,0.0032457,0.0074177,0.0006647,0.0015110,0.0033113,0.0005501,0.0130373,0.0008772,0.0026956,0.0038839,0.0002847,0.0007636,0.0119765,0.0009831,0.0027657,0.0140844,0.0000404,0.0013486,0.0141248
1245,0.0033151,0.0252525,0.0007348,0.0011765,0.0022330,0.0039068,1245,1258,0.9977109,60.7444458,1849.3944092,28.1583328,0.8121271,545.1527710,0.0041077,0.0036183,0.0038795,0.0007554,0.0007136,0.0007360,0.0091834,0.0079999,0.0087614,0.0002386,0.0001526,0.0017345,0.0015718,0.0016643,0.0080698,0.0089140,0.0050824,0.0072121,0.0019560,0.0014243,0.0016694,0.0003560,0.0002615,0.0089420,0.0047582,0.0069506,0.0008523,0.0006745,0.0007444,0.0048027,0.0026951,0.0037919,0.0060328,0.0023458,0.0036932,0.0010323,0.0006305,0.0007585,0.0087974,0.0033501,0.0055561,0.0005819,0.0003396,0.0024086,0.0012731,0.0016785,0.0036743,0.0058957,0.0022309,0.0048713,0.0037349,0.0010356,0.0017016,0.0009841,0.0004561,0.0087226,0.0019923,0.0044152,0.0015920,0.0005081,0.0007864,0.0071260,0.0018483,0.0035490,0.0015916,0.0038545,0.0048941,0.0006713,0.0017418,0.0019114,0.0006281,0.0085852,0.0011176,0.0032264,0.0023003,0.0004342,0.0008594,0.0077417,0.0011628,0.0032810,0.0091834,0.0000691,0.0016630,0.0092525
1246,0.0049306,0.0291327,0.0007859,0.0012979,0.0026729,0.0046548,1246,231,1.0000000,62.0000000,1922.0000000,36.3944435,0.9042588,820.2666626,0.0050165,0.0044767,0.0046455,0.0008014,0.0007753,0.0007870,0.0149584,0.0095351,0.0112354,0.0002716,0.0002332,0.0019759,0.0017997,0.0018620,0.0097299,0.0114685,0.0062997,0.0087547,0.0022517,0.0016840,0.0018679,0.0003730,0.0002767,0.0148932,0.0059942,0.0084779,0.0008906,0.0007208,0.0007889,0.0071795,0.0035558,0.0046281,0.0112025,0.0029147,0.0045035,0.0011616,0.0006415,0.0008023,0.0147301,0.0038488,0.0067748,0.0006542,0.0003553,0.0030237,0.0014767,0.0019021,0.0041107,0.0071300,0.0024069,0.0056566,0.0049337,0.0011501,0.0019529,0.0012039,0.0004847,0.0143915,0.0020863,0.0051720,0.0018584,0.0004911,0.0008506,0.0125462,0.0020507,0.0042351,0.0018349,0.0044293,0.0088111,0.0008208,0.0020336,0.0021859,0.0006997,0.0143121,0.0013111,0.0037296,0.0044230,0.0003896,0.0009621,0.0145750,0.0014780,0.0038031,0.0149958,0.0001948,0.0018602,0.0151906
1247,0.0026158,0.0449518,0.0007350,0.0011991,0.0023914,0.0043005,1247,2299,0.9999349,61.9583321,1919.5416260,35.8861122,0.9046372,794.4805298,0.0048759,0.0039477,0.0042664,0.0007726,0.0007153,0.0007369,0.0129816,0.0090632,0.0112165,0.0002129,0.0001290,0.0018403,0.0016328,0.0017146,0.0091132,0.0113455,0.0058258,0.0085119,0.0021389,0.0014920,0.0017237,0.0003704,0.0002560,0.0129697,0.0055721,0.0082559,0.0008633,0.0006695,0.0007448,0.0061033,0.0033235,0.0042094,0.0084130,0.0021996,0.0040964,0.0012292,0.0005832,0.0007593,0.0127375,0.0034253,0.0062990,0.0005121,0.0003350,0.0035341,0.0012068,0.0017495,0.0037633,0.0066340,0.0023265,0.0052064,0.0051681,0.0009937,0.0017968,0.0010915,0.0004520,0.0126522,0.0020086,0.0047544,0.0018080,0.0004838,0.0007962,0.0107135,0.0019539,0.0038482,0.0015649,0.0040693,0.0075451,0.0006800,0.0018598,0.0034272,0.0006607,0.0124686,0.0010419,0.0034086,0.0046193,0.0003651,0.0009058,0.0116122,0.0012981,0.0034745,0.0131286,0.0000500,0.0017132,0.0131786
1248,0.0026986,0.0402193,0.0007024,0.0011225,0.0023120,0.0044321,1248,1180,0.9999349,61.9583321,1919.5416260,35.3250008,0.9064932,762.1250000,0.0052577,0.0035503,0.0043341,0.0007306,0.0006704,0.0007046,0.0148543,0.0083290,0.0109939,0.0001926,0.0001172,0.0018060,0.0014720,0.0016336,0.0085216,0.0111111,0.0056732,0.0086313,0.0020072,0.0013251,0.0016466,0.0003393,0.0002401,0.0148543,0.0054299,0.0083912,0.0007947,0.0006028,0.0007120,0.0062869,0.0028089,0.0042494,0.0083585,0.0022993,0.0040461,0.0009970,0.0005777,0.0007272,0.0144016,0.0035491,0.0062826,0.0005521,0.0003196,0.0031053,0.0011671,0.0016818,0.0038591,0.0066022,0.0021338,0.0050630,0.0047890,0.0008427,0.0017324,0.0012449,0.0004367,0.0143961,0.0016858,0.0046263,0.0018429,0.0004865,0.0007681,0.0107728,0.0016716,0.0037795,0.0014276,0.0038974,0.0072376,0.0007338,0.0018153,0.0036469,0.0006374,0.0143427,0.0010731,0.0032600,0.0041549,0.0003234,0.0008767,0.0125032,0.0011788,0.0033611,0.0148543,0.0000404,0.0016222,0.0148947
1249,0.0046220,0.0781467,0.0007503,0.0012273,0.0024016,0.0042293,1249,1557,0.9999349,61.9583321,1919.5416260,38.9861107,0.9252286,909.8472290,0.0046126,0.0038652,0.0042079,0.0007799,0.0007307,0.0007526,0.0142541,0.0077301,0.0105881,0.0002447,0.0001838,0.0018619,0.0016703,0.0017448,0.0079455,0.0107719,0.0052493,0.0075840,0.0020389,0.0014173,0.0017467,0.0003366,0.0002652,0.0141271,0.0050173,0.0073187,0.0008573,0.0006267,0.0007586,0.0062945,0.0032904,0.0042096,0.0090100,0.0023345,0.0040719,0.0009531,0.0005854,0.0007699,0.0139946,0.0029387,0.0060914,0.0005628,0.0003421,0.0025476,0.0011850,0.0017635,0.0032324,0.0064334,0.0025889,0.0052748,0.0045261,0.0009185,0.0017963,0.0010076,0.0004635,0.0136985,0.0022283,0.0048113,0.0018404,0.0005050,0.0008064,0.0116326,0.0018206,0.0038640,0.0014590,0.0040971,0.0082850,0.0007680,0.0018602,0.0019943,0.0006541,0.0132760,0.0010080,0.0034430,0.0030448,0.0003562,0.0009023,0.0130135,0.0012454,0.0035029,0.0143212,0.0001041,0.0017432,0.0144253
1250,0.0051763,0.0471465,0.0006728,0.0010482,0.0021280,0.0040397,1250,2025,0.9998958,61.9333344,1918.0666504,34.7055550,0.9014772,732.9944458,0.0047401,0.0032906,0.0039850,0.0007104,0.0006411,0.0006763,0.0126813,0.0087687,0.0106722,0.0002179,0.0001529,0.0016986,0.0013346,0.0015143,0.0088268,0.0108251,0.0052854,0.0083060,0.0019520,0.0011342,0.0015285,0.0003454,0.0002402,0.0126813,0.0052273,0.0080659,0.0008110,0.0005970,0.0006840,0.0059010,0.0023552,0.0039061,0.0074486,0.0019223,0.0037855,0.0009444,0.0005509,0.0007004,0.0124967,0.0028559,0.0060556,0.0005648,0.0003080,0.0025309,0.0010093,0.0015527,0.0030615,0.0063635,0.0017649,0.0048594,0.0039809,0.0009057,0.0016057,0.0008373,0.0004246,0.0122445,0.0015075,0.0044348,0.0014793,0.0004534,0.0007381,0.0086840,0.0014453,0.0034901,0.0012945,0.0036849,0.0068348,0.0007144,0.0016748,0.0021574,0.0005945,0.0119314,0.0008272,0.0030904,0.0029997,0.0003542,0.0008180,0.0106196,0.0011549,0.0031406,0.0127767,0.0000581,0.0015055,0.0128348
1251,0.0100613,0.0752048,0.0006840,0.0010579,0.0020126,0.0033581,1251,174,0.9998958,61.9333344,1918.0666504,38.2694435,0.9197215,874.9749756,0.0036157,0.0031913,0.0033541,0.0006936,0.0006685,0.0006842,0.0098449,0.0061911,0.0076122,0.0002459,0.0001625,0.0015217,0.0014289,0.0014856,0.0062764,0.0077746,0.0048896,0.0061096,0.0016889,0.0012678,0.0014904,0.0003087,0.0002411,0.0097819,0.0047145,0.0058685,0.0007550,0.0006253,0.0006872,0.0042905,0.0025244,0.0033394,0.0047306,0.0020618,0.0032725,0.0008743,0.0005675,0.0006957,0.0096426,0.0029347,0.0049356,0.0004710,0.0003170,0.0018834,0.0011533,0.0015009,0.0032778,0.0052526,0.0022123,0.0042836,0.0029138,0.0009850,0.0015257,0.0008021,0.0004187,0.0095357,0.0018427,0.0038649,0.0012167,0.0004595,0.0007169,0.0062382,0.0017971,0.0031229,0.0013097,0.0033628,0.0044265,0.0007294,0.0015627,0.0016753,0.0005707,0.0093504,0.0009769,0.0027921,0.0019300,0.0003685,0.0007793,0.0093494,0.0012244,0.0028650,0.0099007,0.0000853,0.0014863,0.0099860
1252,0.0055987,0.0546080,0.0006779,0.0010497,0.0020019,0.0034207,1252,1977,0.9998958,61.9333344,1918.0666504,34.4916649,0.8991209,720.7471924,0.0035830,0.0033038,0.0034248,0.0006914,0.0006662,0.0006786,0.0100784,0.0075667,0.0087390,0.0002144,0.0000921,0.0014957,0.0014235,0.0014651,0.0076527,0.0088311,0.0049065,0.0069735,0.0016635,0.0012664,0.0014749,0.0003154,0.0002200,0.0099096,0.0046920,0.0067534,0.0007435,0.0006230,0.0006846,0.0043769,0.0024940,0.0033691,0.0052179,0.0019456,0.0033193,0.0009698,0.0005679,0.0006936,0.0098118,0.0026118,0.0053267,0.0004950,0.0003033,0.0019871,0.0011179,0.0014887,0.0029063,0.0056300,0.0020039,0.0043898,0.0032916,0.0009986,0.0015082,0.0007358,0.0004064,0.0095527,0.0017007,0.0039834,0.0011385,0.0004957,0.0007116,0.0083118,0.0015951,0.0031990,0.0013993,0.0034279,0.0047693,0.0007310,0.0015472,0.0015436,0.0005649,0.0094352,0.0009618,0.0028630,0.0020069,0.0003541,0.0007801,0.0093544,0.0011888,0.0029096,0.0100955,0.0000253,0.0014653,0.0101208
1253,0.0072222,0.0497641,0.0007121,0.0011400,0.0022452,0.0039255,1253,54,0.9998958,61.9333344,1918.0666504,34.0083351,0.9040859,697.1805420,0.0043577,0.0033400,0.0038876,0.0007683,0.0006858,0.0007165,0.0103866,0.0067391,0.0091776,0.0001288,0.0000900,0.0017363,0.0015051,0.0016191,0.0068150,0.0092676,0.0050143,0.0074605,0.0018909,0.0013280,0.0016274,0.0003696,0.0002357,0.0101927,0.0048259,0.0072248,0.0008144,0.0006505,0.0007204,0.0056417,0.0026202,0.0038391,0.0066711,0.0023275,0.0037119,0.0010996,0.0005637,0.0007354,0.0101927,0.0034077,0.0058994,0.0005444,0.0003181,0.0030685,0.0012203,0.0016498,0.0037165,0.0062174,0.0022212,0.0049899,0.0039140,0.0010050,0.0016780,0.0007634,0.0004276,0.0099078,0.0016702,0.0045623,0.0016690,0.0005079,0.0007640,0.0078342,0.0016587,0.0035712,0.0014236,0.0038816,0.0047720,0.0007922,0.0017266,0.0023315,0.0006014,0.0091866,0.0007985,0.0032801,0.0027403,0.0003644,0.0008373,0.0096013,0.0013199,0.0032807,0.0104859,0.0000295,0.0016163,0.0105154
1254,0.0082878,0.0533506,0.0006947,0.0010899,0.0021490,0.0039482,1254,1501,0.9998958,61.9333344,1918.0666504,33.9361115,0.9077663,690.1250000,0.0046131,0.0034498,0.0038940,0.0007302,0.0006791,0.0006960,0.0152769,0.0077477,0.0117863,0.0002198,0.0001563,0.0017111,0.0014770,0.0015632,0.0078063,0.0119425,0.0046375,0.0074372,0.0020333,0.0012888,0.0015756,0.0003191,0.0002487,0.0152108,0.0043556,0.0071885,0.0007999,0.0006283,0.0006995,0.0086822,0.0026515,0.0039202,0.0114525,0.0021836,0.0037677,0.0009529,0.0005789,0.0007101,0.0149780,0.0029562,0.0056480,0.0005660,0.0003267,0.0027388,0.0011392,0.0015995,0.0032579,0.0059747,0.0018366,0.0047503,0.0048188,0.0009315,0.0016484,0.0009466,0.0004309,0.0149780,0.0015075,0.0043194,0.0013109,0.0004873,0.0007401,0.0129234,0.0015653,0.0034945,0.0012180,0.0036797,0.0097164,0.0007038,0.0017059,0.0033701,0.0006111,0.0136082,0.0008543,0.0030686,0.0044298,0.0003767,0.0008393,0.0141761,0.0010552,0.0031486,0.0154328,0.0000586,0.0015566,0.0154914
1255,0.0080262,0.0668798,0.0006959,0.0011103,0.0021502,0.0036586,1255,1588,0.9998913,61.9249992,1917.5583496,33.6611099,0.9143229,674.1722412,0.0040131,0.0034609,0.0036510,0.0007273,0.0006760,0.0006986,0.0085923,0.0073047,0.0081274,0.0002187,0.0001387,0.0017130,0.0015233,0.0015953,0.0075081,0.0082661,0.0050658,0.0064520,0.0019929,0.0012818,0.0016005,0.0003706,0.0002556,0.0085175,0.0047655,0.0061963,0.0007974,0.0006083,0.0007018,0.0048545,0.0028679,0.0035965,0.0057843,0.0022529,0.0035195,0.0008552,0.0005445,0.0007122,0.0084669,0.0028909,0.0051671,0.0005091,0.0003308,0.0022955,0.0010715,0.0016102,0.0031744,0.0054979,0.0023740,0.0045442,0.0033603,0.0008633,0.0016301,0.0007095,0.0004280,0.0084669,0.0019784,0.0041161,0.0012325,0.0004674,0.0007384,0.0069025,0.0016757,0.0033631,0.0012484,0.0035520,0.0045208,0.0007166,0.0016754,0.0020741,0.0006098,0.0080674,0.0008569,0.0029422,0.0024386,0.0003320,0.0008291,0.0080670,0.0010372,0.0030470,0.0087604,0.0000506,0.0015933,0.0088110
1256,0.0088318,0.0814138,0.0007266,0.0011912,0.0023803,0.0042095,1256,1093,0.9998870,61.9166679,1917.0500488,32.7333336,0.9131376,639.2611084,0.0043705,0.0039523,0.0041918,0.0007636,0.0007007,0.0007293,0.0093692,0.0077247,0.0087128,0.0002386,0.0001569,0.0018324,0.0016121,0.0017185,0.0079514,0.0088697,0.0051831,0.0074451,0.0020542,0.0013796,0.0017221,0.0003343,0.0002484,0.0092894,0.0049817,0.0071966,0.0008090,0.0006449,0.0007336,0.0049101,0.0030060,0.0041306,0.0063782,0.0024781,0.0039986,0.0010465,0.0005969,0.0007488,0.0091164,0.0031881,0.0059057,0.0004992,0.0003306,0.0024759,0.0012344,0.0017389,0.0035863,0.0062363,0.0021821,0.0050614,0.0034855,0.0009921,0.0017724,0.0008708,0.0004504,0.0089481,0.0019049,0.0046110,0.0013072,0.0004561,0.0007839,0.0076004,0.0018155,0.0037797,0.0010979,0.0039473,0.0053311,0.0007364,0.0018388,0.0022303,0.0006554,0.0085706,0.0007075,0.0032918,0.0026214,0.0003682,0.0008983,0.0085903,0.0010532,0.0033962,0.0094507,0.0000404,0.0017142,0.0094910
1257,0.0096977,0.0487548,0.0007093,0.0011212,0.0021549,0.0036916,1257,1937,0.9998958,61.9333344,1918.0666504,37.9888878,0.9163845,858.2277832,0.0040093,0.0034795,0.0036741,0.0007575,0.0006732,0.0007126,0.0137733,0.0079274,0.0110101,0.0001828,0.0001409,0.0017063,0.0014829,0.0015740,0.0080746,0.0111510,0.0050790,0.0077742,0.0017988,0.0013242,0.0015799,0.0003450,0.0002531,0.0136245,0.0048121,0.0075212,0.0007899,0.0006340,0.0007158,0.0047153,0.0028093,0.0036599,0.0060894,0.0024668,0.0036140,0.0008981,0.0005960,0.0007210,0.0135874,0.0030621,0.0057463,0.0004841,0.0003208,0.0021895,0.0012038,0.0015875,0.0034576,0.0060671,0.0022098,0.0048130,0.0042905,0.0009270,0.0016103,0.0009113,0.0004214,0.0134222,0.0018424,0.0043916,0.0015663,0.0005079,0.0007461,0.0111624,0.0017649,0.0034758,0.0014504,0.0037263,0.0055638,0.0007647,0.0016576,0.0020386,0.0005931,0.0126836,0.0010611,0.0031332,0.0030505,0.0003618,0.0008178,0.0133230,0.0011203,0.0031608,0.0137733,0.0000815,0.0015726,0.0138548
1258,0.0076202,0.0288689,0.0007228,0.0011455,0.0021571,0.0036079,1258,1127,0.9998958,61.9333344,1918.0666504,37.5055542,0.9200794,830.8944702,0.0037675,0.0032619,0.0036031,0.0007453,0.0007014,0.0007250,0.0105132,0.0061719,0.0086345,0.0002527,0.0001835,0.0016280,0.0015306,0.0015944,0.0063361,0.0088180,0.0048899,0.0068363,0.0018380,0.0013229,0.0016026,0.0003305,0.0002490,0.0104885,0.0046304,0.0065873,0.0008207,0.0006203,0.0007302,0.0044904,0.0025073,0.0035526,0.0059320,0.0022390,0.0034987,0.0009465,0.0005842,0.0007388,0.0102119,0.0029437,0.0052896,0.0005541,0.0003251,0.0020626,0.0011865,0.0016108,0.0032032,0.0056147,0.0024505,0.0046631,0.0030525,0.0009780,0.0016288,0.0007518,0.0004277,0.0102026,0.0019204,0.0042354,0.0011805,0.0005159,0.0007591,0.0073347,0.0017280,0.0033860,0.0012183,0.0036747,0.0049237,0.0007359,0.0016688,0.0014206,0.0005935,0.0100296,0.0008905,0.0030812,0.0016620,0.0004020,0.0008208,0.0097726,0.0010838,0.0031325,0.0106143,0.0001516,0.0015937,0.0107659
1259,0.0101918,0.0168722,0.0006723,0.0010354,0.0019777,0.0033122,1259,1761,0.9998958,61.9333344,1918.0666504,37.4805565,0.9229628,820.2750244,0.0036386,0.0031001,0.0032874,0.0007123,0.0006554,0.0006740,0.0087712,0.0065055,0.0079768,0.0001972,0.0001282,0.0015857,0.0013984,0.0014526,0.0066496,0.0081050,0.0050768,0.0065398,0.0017100,0.0012131,0.0014613,0.0003325,0.0002090,0.0087712,0.0048861,0.0063308,0.0007530,0.0006124,0.0006790,0.0039931,0.0024011,0.0032370,0.0052782,0.0019122,0.0031640,0.0008727,0.0005692,0.0006855,0.0087712,0.0027362,0.0049945,0.0004512,0.0002972,0.0022378,0.0010374,0.0014786,0.0030649,0.0052917,0.0021348,0.0042116,0.0031768,0.0009152,0.0014955,0.0007723,0.0004069,0.0083755,0.0018196,0.0038047,0.0016865,0.0004785,0.0007121,0.0070270,0.0016787,0.0030409,0.0012948,0.0032715,0.0046810,0.0007375,0.0015408,0.0017821,0.0005670,0.0082198,0.0008491,0.0027045,0.0021074,0.0003851,0.0007785,0.0080688,0.0011640,0.0027894,0.0087712,0.0000445,0.0014488,0.0088157
1260,0.0095377,0.0353447,0.0007057,0.0011262,0.0022188,0.0039929,1260,687,0.9998958,61.9333344,1918.0666504,37.3111115,0.9279945,803.3333130,0.0044116,0.0035482,0.0039701,0.0007265,0.0006971,0.0007062,0.0259496,0.0076392,0.0132877,0.0002558,0.0001481,0.0016913,0.0015359,0.0016180,0.0078950,0.0134358,0.0055401,0.0087243,0.0019295,0.0012989,0.0016252,0.0003278,0.0002350,0.0258206,0.0053324,0.0084893,0.0008041,0.0006343,0.0007146,0.0070960,0.0028052,0.0039908,0.0136775,0.0019294,0.0038767,0.0011333,0.0005567,0.0007295,0.0257584,0.0029364,0.0059565,0.0005563,0.0003283,0.0029312,0.0010406,0.0016460,0.0032970,0.0062847,0.0019357,0.0049092,0.0061544,0.0009740,0.0016870,0.0010811,0.0004400,0.0250532,0.0016131,0.0044693,0.0017090,0.0005134,0.0007599,0.0167871,0.0015326,0.0036223,0.0012067,0.0037852,0.0084160,0.0007480,0.0017524,0.0030305,0.0006259,0.0243657,0.0007761,0.0031592,0.0034421,0.0003592,0.0008573,0.0232230,0.0011466,0.0032453,0.0260691,0.0000652,0.0016125,0.0261343
