S1_pixel_ID,date,moran,z,p
1120,302,0.698361,39.026668,0
1121,302,0.687732,38.59887,0
1122,302,0.788268,44.27247,0
1123,302,0.551949,30.83868,0
1124,302,0.442859,24.743179,0
1125,302,0.533412,29.820273,0
1127,302,0.385945,21.56024,0
1128,302,0.583395,32.612995,0
1129,302,0.399926,22.338686,0
1130,302,0.424344,23.693497,0
1131,302,0.352939,19.711371,0
1132,302,0.67085,37.478141,0
1133,302,0.377398,21.078557,0
1134,302,0.591949,33.081166,0
1135,302,0.523149,29.217525,0
1136,302,0.5726,31.969552,0
1137,302,0.550728,30.778255,0
1138,302,0.775102,43.364116,0
1139,302,0.3146,17.573485,0
1141,302,0.325146,18.169132,0
1142,302,0.462419,25.827548,0
1143,302,0.319354,17.833742,0
1144,302,0.636717,35.575994,0
1145,302,0.43346,24.228382,0
1146,302,0.38129,21.307594,0
1147,302,0.483424,26.997932,0
1148,302,0.611904,34.238368,0
1149,302,0.574342,32.077719,0
1150,302,0.762895,42.683746,0
1151,302,0.563237,31.588056,0
1152,302,0.507912,28.378083,0
1153,302,0.368063,20.564693,0
1154,302,0.56749,32.199799,0
1155,302,0.347742,19.419949,0
1156,302,0.613792,34.785801,0
1157,302,0.686839,39.055497,0
1159,302,0.49676,27.740694,0
1160,302,0.686684,38.669672,0
1161,302,0.648118,36.209743,0
1162,302,0.770798,43.120909,0
1163,302,0.657484,36.777661,0
1164,302,0.372641,20.840774,0
1165,302,0.520518,29.098202,0
1166,302,0.804856,45.20852,0
1167,302,0.612398,34.182773,0
1168,302,0.769173,43.266098,0
1170,302,0.442491,24.705462,0
1171,302,0.674286,37.761588,0
1173,302,0.667,37.289417,0
1174,302,0.396925,22.169933,0
1175,302,0.632116,35.461611,0
1176,302,0.663414,37.050427,0
1177,302,0.687351,38.450203,0
1178,302,0.485206,27.094195,0
1179,302,0.487162,27.205824,0
1180,302,0.529298,29.570363,0
1181,302,0.624796,34.908293,0
1182,302,0.428957,23.951761,0
1183,302,0.590287,33.015064,0
1184,302,0.796268,44.581756,0
1185,302,0.528833,29.534365,0
1186,302,0.509788,28.512969,0
1187,302,0.570682,31.871123,0
1188,302,0.47057,26.289063,0
1189,302,0.401693,22.433666,0
1190,302,0.7844,43.823756,0
1191,302,0.593093,33.132916,0
1192,302,0.327713,18.302243,0
1193,302,0.672646,38.398857,0
1194,302,0.57082,31.876585,0
1195,302,0.73209,40.886658,0
1197,302,0.80695,45.138148,0
1198,302,0.427391,23.87868,0
1199,302,0.73934,41.617414,0
1200,302,0.447321,25.004797,0
1202,302,0.678682,37.924197,0
