,RMSE,MAE,R2
105,0.04519686404176105,0.03388348907512543,0.4610060135908004
106,0.04839484851041166,0.036468576007254776,0.3930021322234035
107,0.04632652148863503,0.03481954961292127,0.4191789841878621
108,0.045122121195193335,0.0342673456788154,0.4567575844987254
109,0.04547909547255852,0.033405888840525574,0.44317905206482233
110,0.04421791650321606,0.03356309645125816,0.41613306974753694
111,0.046088705381200294,0.03453580128704591,0.4431667015357227
112,0.04442818467491597,0.03311975200147044,0.4649735531792734
113,0.04385699618552595,0.03313891391706097,0.4698498990521789
114,0.047280463747696864,0.035377533477369195,0.4347208599058105
115,0.044529283768190236,0.033969280849750344,0.43521823307288954
116,0.04385987634128012,0.033707241879874936,0.4589686265142715
117,0.04665006134244182,0.03545376187830009,0.4338594802645583
118,0.04495740890652447,0.03399918550561751,0.4444189479769265
119,0.04552319001159365,0.03440193214509854,0.4426953154697743
120,0.04473191315228086,0.03376497631575209,0.4761236370183156
121,0.0441942024284273,0.033079832906909724,0.4704060729929864
122,0.04533762592857332,0.03411573767744928,0.4455013912739808
123,0.04426009988170251,0.03357871345491182,0.4849551640662673
124,0.04635102121216155,0.034995304237188954,0.4331527741537255
125,0.04500114577243064,0.03465304994343841,0.4251599495385289
126,0.044313927811646774,0.03362632310484745,0.45125482986712645
127,0.045217122743063706,0.03457870746497708,0.4547659342912335
128,0.04571419960912796,0.0353083117132219,0.46703295568139475
129,0.04669179852495272,0.035325193898154944,0.4397506531316123
130,0.04494148349391721,0.03418630506802277,0.46169791762204165
131,0.04532469601373059,0.034417222476697845,0.47669366503265626
132,0.04357675745743717,0.033257540849782496,0.4688588357168877
133,0.04536227824389906,0.03369654670672292,0.4376247323318523
134,0.04400819119935856,0.033360956575349314,0.46306955498932134
135,0.04696864624137511,0.035470849699975264,0.4235811738119433
136,0.04483951265715636,0.0341670321310408,0.4539436643071214
137,0.04436533425417425,0.03363082229172931,0.4523180931013497
138,0.04779054084356997,0.03573738305714483,0.4207669481558867
139,0.04360016673951132,0.03277073005876379,0.4708221111579853
140,0.0466694659730167,0.03455665654230237,0.42028688100548034
141,0.04314488508375898,0.03270553240462918,0.4710427598932864
142,0.04507169002537916,0.033966309819727446,0.47479256657869656
143,0.045812309023625375,0.034500705185676335,0.4610565611564801
144,0.046448156049687495,0.03523213342908853,0.4294051139931691
145,0.04671064775090357,0.03575750573794396,0.4067827118700316
146,0.04459043989217642,0.033812344655655205,0.4308398289591212
147,0.046318266388516445,0.03454290587982802,0.4474459968829664
148,0.04472605490661097,0.03382761851737956,0.4581388332061864
149,0.04716950928654692,0.03559079638782838,0.408007751789838
150,0.04512411718917639,0.03438339318488981,0.45952030313475256
151,0.045281234631577454,0.034057883202247966,0.46054553281627064
152,0.04442139155135881,0.03422908143766056,0.45817594080073537
153,0.04462785258460946,0.03407353584588578,0.4641143990306
154,0.04561552225467477,0.03424305745977692,0.45207579465571696
155,0.04560519588390207,0.03437396323159541,0.42758923556440964
156,0.04386005773706717,0.03319812532921249,0.4971496321844635
157,0.044098255064260565,0.033621221775084295,0.4481343406489357
158,0.044001848960110876,0.03392213528941947,0.4328282755834326
159,0.04469051364958662,0.033963972898210015,0.47173995250299733
160,0.044457642974228335,0.03386839585352583,0.4813400103161207
161,0.046452968314413985,0.035054546072753816,0.44405860985263246
162,0.04480197516915266,0.033849940621518956,0.43848515215465533
163,0.04551389895061277,0.03496563403312954,0.465149052617263
164,0.045773216429671304,0.034965342755215414,0.43946129384916827
165,0.04586017930699594,0.03422036930369737,0.4528244011883452
166,0.04434910586422844,0.034193659744918684,0.4650679648383681
167,0.04511597499148545,0.034354160688689454,0.45198412170344543
168,0.04419009590990452,0.03396700025625679,0.46400008809818455
169,0.044099690859129785,0.03372937588384774,0.4678985899779257
