OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28
186,OBJEC_207,373,2569,3348,23974,21911,16212,11653,7554,5536,4016,2908,2313,7904,785,123,38,5,0,0,0,0,0,0,0,0,0,0,0
187,OBJEC_208,521,3466,4495,33978,27062,17362,9794,5730,3261,1959,1165,759,1519,135,16,0,0,0,0,0,0,0,0,0,0,0,0,0
188,OBJEC_210,2551,12411,12240,55542,20871,5753,1426,316,93,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,OBJEC_211,407,3443,4425,32738,27439,17887,10726,5933,3293,1872,1145,700,1158,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,OBJEC_213,162,1393,1836,17067,19805,18099,15014,10532,7452,5202,3612,2559,6958,773,205,77,39,19,7,5,5,19,11,21,17,0,0,0
191,OBJEC_214,83,821,1291,14237,20199,19340,15380,11431,8159,5545,3904,2785,6644,742,193,62,38,16,18,1,0,0,0,0,0,0,0,0
192,OBJEC_215,518,3663,4571,34310,31964,19349,9589,4066,1680,820,438,227,302,29,12,9,7,2,0,0,0,0,0,0,0,0,0,0
193,OBJEC_217,1544,8727,9008,47483,25712,11844,4812,1555,565,185,89,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,OBJEC_218,266,1936,2479,20357,20612,16896,13094,9301,6893,4875,3525,2545,7473,721,159,52,27,5,2,4,0,0,0,0,0,0,0,0
195,OBJEC_219,80,467,686,7516,11190,12431,12070,10508,9292,7747,6491,5278,20577,4063,1173,523,312,165,104,73,46,88,9,0,0,0,0,0
196,OBJEC_220,1213,6988,7462,42974,25311,13261,6582,3153,1749,1003,557,309,323,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,OBJEC_221,664,4420,5583,37725,28263,16294,8801,4348,2250,1338,699,365,466,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,OBJEC_222,638,3618,4164,30226,26815,18311,11459,6317,3607,2132,1356,825,1678,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,OBJEC_223,990,6567,7773,48032,28609,12498,4571,1339,505,185,75,35,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,OBJEC_224,121,1001,1444,15150,19587,18355,15199,11087,7796,5592,3911,2874,7740,808,170,36,13,4,1,0,0,0,0,0,0,0,0,0
201,OBJEC_225,618,4197,5345,37412,29099,16601,8595,4084,2178,1193,728,466,919,93,22,6,0,0,0,0,0,0,0,0,0,0,0,0
202,OBJEC_226,1986,10757,10869,51178,21730,8262,3606,1397,570,239,118,57,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,OBJEC_227,767,3501,2906,11697,7429,7150,7638,7264,6914,6322,5868,5384,29269,6022,1750,674,308,147,68,53,29,55,7,0,0,0,0,0
204,OBJEC_228,956,5708,6568,41574,27743,14379,6906,3165,1803,1099,608,376,662,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,OBJEC_229,43,474,705,7428,10244,11357,11377,10234,9114,7907,6951,5957,24085,3518,896,307,120,71,32,17,14,34,4,0,0,0,0,0
206,OBJEC_231,613,3980,4847,34795,27359,16851,9796,4902,2738,1694,1006,688,1701,215,32,5,0,0,0,0,0,0,0,0,0,0,0,0
207,OBJEC_232,367,2346,3014,23576,23431,18477,13515,8315,5545,3673,2398,1768,4258,444,76,19,0,0,0,0,0,0,0,0,0,0,0,0
208,OBJEC_233,1150,7143,8121,45734,26275,12532,5580,2370,1185,533,275,128,192,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,OBJEC_234,1049,5208,5192,30008,21165,14132,9840,6841,4766,3481,2477,1637,4383,538,115,39,10,7,1,0,0,0,0,0,0,0,0,0
210,OBJEC_235,860,6140,7112,44319,28619,13078,5481,2193,1218,636,405,258,559,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,OBJEC_236,289,2060,2656,22796,26109,19514,12816,7330,4990,3293,2173,1624,4473,578,80,27,10,6,9,6,7,34,9,0,0,0,0,0
212,OBJEC_237,569,3678,4558,32051,26048,16804,10451,5956,3657,2411,1600,1052,2521,176,22,2,0,0,0,0,0,0,0,0,0,0,0,0
213,OBJEC_238,1136,5969,6428,38528,26001,14222,7567,3954,2389,1564,973,718,1484,189,51,27,15,4,3,0,0,0,0,0,0,0,0,0
214,OBJEC_239,2078,9922,9150,44523,24138,11580,5685,1849,855,393,243,151,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,OBJEC_240,636,4005,5219,36595,28264,16629,9005,4640,2627,1487,871,497,741,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,OBJEC_241,582,4143,5132,35988,27498,16862,9199,4854,2796,1596,909,511,1057,79,11,4,1,0,0,0,0,0,0,0,0,0,0,0
217,OBJEC_242,1098,6945,7898,46442,27621,12560,5062,1810,756,357,178,70,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,OBJEC_243,921,4768,4954,31861,22855,15316,9986,6079,3988,2726,1903,1381,3652,431,45,15,3,5,0,0,0,0,0,0,0,0,0,0
219,OBJEC_244,538,3888,5017,35837,29242,17797,9493,4430,2269,1203,550,288,335,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,OBJEC_245,542,3598,4399,32072,25745,17223,10616,6159,3909,2398,1464,913,1776,55,10,5,4,1,0,0,0,0,0,0,0,0,0,0
221,OBJEC_246,1333,7804,8797,48330,26706,11351,4398,1481,624,247,91,43,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,OBJEC_247,111,913,1370,15933,19965,18221,14829,11023,8137,5761,4243,2956,6664,608,107,19,13,5,6,3,2,0,0,0,0,0,0,0
223,OBJEC_248,539,3406,4242,30688,26057,17551,11545,6521,3805,2250,1491,888,1855,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224,OBJEC_250,216,1798,2375,20589,23024,19045,14241,9276,6402,4088,2678,1853,4904,272,63,34,21,10,0,0,0,0,0,0,0,0,0,0
225,OBJEC_251,38,156,211,2752,4922,6131,6853,7127,7084,6797,6452,5911,33406,11512,5127,2607,1428,812,545,305,210,411,77,15,0,0,0,0
226,OBJEC_252,3023,14723,13298,53360,17335,5768,2427,712,290,125,63,39,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,OBJEC_254,1847,8703,7865,37898,20868,12476,8953,4720,2934,1821,1045,755,971,25,7,1,0,0,0,0,0,0,0,0,0,0,0,0
228,OBJEC_255,113,1020,1721,17395,21484,19393,15445,10796,7708,5325,3432,2332,4480,206,35,4,0,0,0,0,0,0,0,0,0,0,0,0
229,OBJEC_257,433,3397,4598,32802,26013,16851,10053,5804,3714,2319,1527,977,2238,127,25,10,1,0,0,0,0,0,0,0,0,0,0,0
230,OBJEC_258,669,4694,5850,39397,28057,16094,8120,3895,2127,1013,532,311,458,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,OBJEC_259,226,1708,2395,20217,22232,18625,14492,9889,6700,4551,3034,2078,4483,393,112,47,25,14,1,0,0,0,0,0,0,0,0,0
232,OBJEC_260,2374,12543,12045,54378,20485,6405,2038,542,206,114,39,25,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,OBJEC_261,451,3290,4026,29163,24918,16882,10659,6628,4567,2822,2088,1464,3714,382,95,32,12,16,3,5,5,0,0,0,0,0,0,0
234,OBJEC_262,488,3371,4422,31741,26706,17785,10683,6306,3603,2075,1270,799,1376,172,66,25,1,0,0,0,0,0,0,0,0,0,0,0
235,OBJEC_264,1686,9276,9257,45128,23265,11361,5877,2707,1593,655,250,107,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,OBJEC_265,590,4013,4787,34582,27371,16969,9736,5246,3018,1705,997,631,1166,66,12,0,0,0,0,0,0,0,0,0,0,0,0,0
237,OBJEC_266,1136,7178,8289,47212,27096,12003,4977,1908,831,418,254,141,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,OBJEC_267,1046,5215,4833,26550,21945,16936,12839,7702,5333,3150,1793,1165,2593,105,16,1,0,0,0,0,0,0,0,0,0,0,0,0
239,OBJEC_268,570,3891,4987,36216,28377,17181,9019,4449,2379,1330,799,489,1052,117,21,9,3,0,0,0,0,0,0,0,0,0,0,0
240,OBJEC_269,23,267,463,6212,11106,14729,15899,14214,12349,9250,6927,5096,13006,990,208,78,45,10,5,4,4,4,0,0,0,0,0,0
241,OBJEC_270,59,516,991,12329,18208,18403,15875,12209,9033,6464,4610,3228,7950,790,172,38,12,2,0,0,0,0,0,0,0,0,0,0
