,run_no,predict,valid
1795,7,mixed,mixed
1796,7,smooth,smooth
1797,7,smooth,mixed
1798,7,smooth,smooth
1799,7,mixed,mixed
1800,7,smooth,rough
1801,7,rough,smooth
1802,7,mixed,mixed
1803,7,smooth,smooth
1804,7,rough,mixed
1805,7,rough,mixed
1806,7,mixed,mixed
1807,7,rough,smooth
1808,7,smooth,smooth
1809,7,mixed,mixed
1810,7,smooth,smooth
1811,7,mixed,mixed
1812,7,smooth,mixed
1813,7,rough,mixed
1814,7,rough,mixed
1815,7,mixed,rough
1816,7,rough,mixed
1817,7,smooth,smooth
1818,7,smooth,mixed
1819,7,rough,rough
1820,8,smooth,smooth
1821,8,smooth,smooth
1822,8,mixed,mixed
1823,8,mixed,water
1824,8,smooth,smooth
1825,8,mixed,smooth
1826,8,rough,smooth
1827,8,rough,smooth
1828,8,smooth,mixed
1829,8,smooth,mixed
1830,8,rough,mixed
1831,8,smooth,water
1832,8,rough,smooth
1833,8,smooth,rough
1834,8,mixed,mixed
1835,8,smooth,rough
1836,8,smooth,smooth
1837,8,mixed,mixed
1838,8,rough,rough
1839,8,rough,rough
1840,8,rough,rough
1841,8,mixed,rough
1842,8,rough,mixed
1843,8,smooth,mixed
1844,8,smooth,mixed
1845,8,smooth,smooth
1846,8,smooth,mixed
1847,8,smooth,smooth
1848,8,smooth,smooth
1849,8,smooth,water
1850,8,rough,smooth
1851,8,rough,smooth
1852,8,mixed,smooth
1853,8,mixed,smooth
1854,8,rough,smooth
1855,8,mixed,mixed
1856,8,rough,mixed
1857,8,rough,smooth
1858,8,mixed,smooth
1859,8,mixed,rough
1860,8,rough,mixed
1861,8,rough,smooth
1862,8,smooth,smooth
1863,8,rough,rough
1864,8,smooth,smooth
1865,8,smooth,smooth
1866,8,smooth,mixed
1867,8,smooth,smooth
1868,8,smooth,water
1869,8,smooth,rough
1870,8,smooth,smooth
1871,8,smooth,mixed
1872,8,mixed,mixed
1873,8,mixed,rough
1874,8,rough,smooth
1875,8,smooth,rough
1876,8,rough,smooth
1877,8,rough,mixed
1878,8,smooth,smooth
1879,8,rough,mixed
1880,8,mixed,smooth
1881,8,smooth,smooth
1882,8,smooth,mixed
1883,8,rough,rough
1884,8,smooth,smooth
1885,8,mixed,smooth
1886,8,rough,rough
1887,8,rough,smooth
1888,8,smooth,smooth
1889,8,smooth,rough
1890,8,mixed,smooth
1891,8,smooth,mixed
1892,8,rough,smooth
1893,8,mixed,mixed
1894,8,mixed,mixed
1895,8,mixed,smooth
1896,8,smooth,smooth
1897,8,mixed,mixed
1898,8,smooth,mixed
1899,8,rough,rough
1900,8,mixed,smooth
1901,8,smooth,mixed
1902,8,mixed,mixed
1903,8,rough,smooth
1904,8,rough,mixed
1905,8,mixed,mixed
1906,8,smooth,smooth
1907,8,rough,rough
1908,8,smooth,rough
